Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2012,16,Korean Grand Prix,2,1,VET,Sebastian,Vettel,German,25,Finished,1:36:28.651,Red Bull
2012,16,Korean Grand Prix,1,2,WEB,Mark,Webber,Australian,18,Finished,+8.231,Red Bull
2012,16,Korean Grand Prix,4,3,ALO,Fernando,Alonso,Spanish,15,Finished,+13.944,Ferrari
2012,16,Korean Grand Prix,6,4,MAS,Felipe,Massa,Brazilian,12,Finished,+20.168,Ferrari
2012,16,Korean Grand Prix,5,5,RAI,Kimi,Räikkönen,Finnish,10,Finished,+36.739,Lotus F1
2012,16,Korean Grand Prix,8,6,HUL,Nico,Hülkenberg,German,8,Finished,+45.301,Force India
2012,16,Korean Grand Prix,7,7,GRO,Romain,Grosjean,French,6,Finished,+54.812,Lotus F1
2012,16,Korean Grand Prix,16,8,VER,Jean-Éric,Vergne,French,4,Finished,+69.589,Toro Rosso
2012,16,Korean Grand Prix,21,9,RIC,Daniel,Ricciardo,Australian,2,Finished,+71.787,Toro Rosso
2012,16,Korean Grand Prix,3,10,HAM,Lewis,Hamilton,British,1,Finished,+79.692,McLaren
2012,16,Korean Grand Prix,12,11,PER,Sergio,Pérez,Mexican,0,Finished,+80.062,Sauber
2012,16,Korean Grand Prix,14,12,DIR,Paul,di Resta,British,0,Finished,+84.448,Force India
2012,16,Korean Grand Prix,10,13,MSC,Michael,Schumacher,German,0,Finished,+89.241,Mercedes
2012,16,Korean Grand Prix,15,14,MAL,Pastor,Maldonado,Venezuelan,0,Finished,+94.924,Williams
2012,16,Korean Grand Prix,17,15,SEN,Bruno,Senna,Brazilian,0,Finished,+96.902,Williams
2012,16,Korean Grand Prix,18,16,PET,Vitaly,Petrov,Russian,0,+1 Lap,,Caterham
2012,16,Korean Grand Prix,19,17,KOV,Heikki,Kovalainen,Finnish,0,+1 Lap,,Caterham
2012,16,Korean Grand Prix,20,18,GLO,Timo,Glock,German,0,+1 Lap,,Marussia
2012,16,Korean Grand Prix,24,19,PIC,Charles,Pic,French,0,+2 Laps,,Marussia
2012,16,Korean Grand Prix,23,20,KAR,Narain,Karthikeyan,Indian,0,+2 Laps,,HRT
2012,16,Korean Grand Prix,22,21,DLR,Pedro,de la Rosa,Spanish,0,Throttle,,HRT
2012,16,Korean Grand Prix,13,22,KOB,Kamui,Kobayashi,Japanese,0,Collision damage,,Sauber
2012,16,Korean Grand Prix,9,23,ROS,Nico,Rosberg,German,0,Collision,,Mercedes
2012,16,Korean Grand Prix,11,24,BUT,Jenson,Button,British,0,Collision,,McLaren
