Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2012,20,Brazilian Grand Prix,2,1,BUT,Jenson,Button,British,25,Finished,1:45:22.656,McLaren
2012,20,Brazilian Grand Prix,7,2,ALO,Fernando,Alonso,Spanish,18,Finished,+2.754,Ferrari
2012,20,Brazilian Grand Prix,5,3,MAS,Felipe,Massa,Brazilian,15,Finished,+3.615,Ferrari
2012,20,Brazilian Grand Prix,3,4,WEB,Mark,Webber,Australian,12,Finished,+4.936,Red Bull
2012,20,Brazilian Grand Prix,6,5,HUL,Nico,Hülkenberg,German,10,Finished,+5.708,Force India
2012,20,Brazilian Grand Prix,4,6,VET,Sebastian,Vettel,German,8,Finished,+9.453,Red Bull
2012,20,Brazilian Grand Prix,13,7,MSC,Michael,Schumacher,German,6,Finished,+11.907,Mercedes
2012,20,Brazilian Grand Prix,17,8,VER,Jean-Éric,Vergne,French,4,Finished,+28.653,Toro Rosso
2012,20,Brazilian Grand Prix,14,9,KOB,Kamui,Kobayashi,Japanese,2,Finished,+31.250,Sauber
2012,20,Brazilian Grand Prix,8,10,RAI,Kimi,Räikkönen,Finnish,1,+1 Lap,,Lotus F1
2012,20,Brazilian Grand Prix,19,11,PET,Vitaly,Petrov,Russian,0,+1 Lap,,Caterham
2012,20,Brazilian Grand Prix,22,12,PIC,Charles,Pic,French,0,+1 Lap,,Marussia
2012,20,Brazilian Grand Prix,15,13,RIC,Daniel,Ricciardo,Australian,0,+1 Lap,,Toro Rosso
2012,20,Brazilian Grand Prix,20,14,KOV,Heikki,Kovalainen,Finnish,0,+1 Lap,,Caterham
2012,20,Brazilian Grand Prix,9,15,ROS,Nico,Rosberg,German,0,+1 Lap,,Mercedes
2012,20,Brazilian Grand Prix,21,16,GLO,Timo,Glock,German,0,+1 Lap,,Marussia
2012,20,Brazilian Grand Prix,24,17,DLR,Pedro,de la Rosa,Spanish,0,+2 Laps,,HRT
2012,20,Brazilian Grand Prix,23,18,KAR,Narain,Karthikeyan,Indian,0,+2 Laps,,HRT
2012,20,Brazilian Grand Prix,10,19,DIR,Paul,di Resta,British,0,Accident,,Force India
2012,20,Brazilian Grand Prix,1,20,HAM,Lewis,Hamilton,British,0,Collision,,McLaren
2012,20,Brazilian Grand Prix,18,21,GRO,Romain,Grosjean,French,0,Accident,,Lotus F1
2012,20,Brazilian Grand Prix,16,22,MAL,Pastor,Maldonado,Venezuelan,0,Collision,,Williams
2012,20,Brazilian Grand Prix,11,23,SEN,Bruno,Senna,Brazilian,0,Collision,,Williams
2012,20,Brazilian Grand Prix,12,24,PER,Sergio,Pérez,Mexican,0,Collision,,Sauber
