Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2012,6,Monaco Grand Prix,1,1,WEB,Mark,Webber,Australian,25,Finished,1:46:06.557,Red Bull
2012,6,Monaco Grand Prix,2,2,ROS,Nico,Rosberg,German,18,Finished,+0.643,Mercedes
2012,6,Monaco Grand Prix,5,3,ALO,Fernando,Alonso,Spanish,15,Finished,+0.947,Ferrari
2012,6,Monaco Grand Prix,9,4,VET,Sebastian,Vettel,German,12,Finished,+1.343,Red Bull
2012,6,Monaco Grand Prix,3,5,HAM,Lewis,Hamilton,British,10,Finished,+4.101,McLaren
2012,6,Monaco Grand Prix,7,6,MAS,Felipe,Massa,Brazilian,8,Finished,+6.195,Ferrari
2012,6,Monaco Grand Prix,14,7,DIR,Paul,di Resta,British,6,Finished,+41.537,Force India
2012,6,Monaco Grand Prix,10,8,HUL,Nico,Hülkenberg,German,4,Finished,+42.562,Force India
2012,6,Monaco Grand Prix,8,9,RAI,Kimi,Räikkönen,Finnish,2,Finished,+44.036,Lotus F1
2012,6,Monaco Grand Prix,13,10,SEN,Bruno,Senna,Brazilian,1,Finished,+44.516,Williams
2012,6,Monaco Grand Prix,23,11,PER,Sergio,Pérez,Mexican,0,+1 Lap,,Sauber
2012,6,Monaco Grand Prix,16,12,VER,Jean-Éric,Vergne,French,0,+1 Lap,,Toro Rosso
2012,6,Monaco Grand Prix,17,13,KOV,Heikki,Kovalainen,Finnish,0,+1 Lap,,Caterham
2012,6,Monaco Grand Prix,19,14,GLO,Timo,Glock,German,0,+1 Lap,,Marussia
2012,6,Monaco Grand Prix,22,15,KAR,Narain,Karthikeyan,Indian,0,+2 Laps,,HRT
2012,6,Monaco Grand Prix,12,16,BUT,Jenson,Button,British,0,Collision,,McLaren
2012,6,Monaco Grand Prix,15,17,RIC,Daniel,Ricciardo,Australian,0,Retired,,Toro Rosso
2012,6,Monaco Grand Prix,21,18,PIC,Charles,Pic,French,0,Retired,,Marussia
2012,6,Monaco Grand Prix,6,19,MSC,Michael,Schumacher,German,0,Fuel pressure,,Mercedes
2012,6,Monaco Grand Prix,18,20,PET,Vitaly,Petrov,Russian,0,Electrical,,Caterham
2012,6,Monaco Grand Prix,11,21,KOB,Kamui,Kobayashi,Japanese,0,Accident,,Sauber
2012,6,Monaco Grand Prix,20,22,DLR,Pedro,de la Rosa,Spanish,0,Accident,,HRT
2012,6,Monaco Grand Prix,24,23,MAL,Pastor,Maldonado,Venezuelan,0,Accident,,Williams
2012,6,Monaco Grand Prix,4,24,GRO,Romain,Grosjean,French,0,Accident,,Lotus F1
