Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2012,7,Canadian Grand Prix,2,1,HAM,Lewis,Hamilton,British,25,Finished,1:32:29.586,McLaren
2012,7,Canadian Grand Prix,7,2,GRO,Romain,Grosjean,French,18,Finished,+2.513,Lotus F1
2012,7,Canadian Grand Prix,15,3,PER,Sergio,Pérez,Mexican,15,Finished,+5.260,Sauber
2012,7,Canadian Grand Prix,1,4,VET,Sebastian,Vettel,German,12,Finished,+7.295,Red Bull
2012,7,Canadian Grand Prix,3,5,ALO,Fernando,Alonso,Spanish,10,Finished,+13.411,Ferrari
2012,7,Canadian Grand Prix,5,6,ROS,Nico,Rosberg,German,8,Finished,+13.842,Mercedes
2012,7,Canadian Grand Prix,4,7,WEB,Mark,Webber,Australian,6,Finished,+15.085,Red Bull
2012,7,Canadian Grand Prix,12,8,RAI,Kimi,Räikkönen,Finnish,4,Finished,+15.567,Lotus F1
2012,7,Canadian Grand Prix,11,9,KOB,Kamui,Kobayashi,Japanese,2,Finished,+24.432,Sauber
2012,7,Canadian Grand Prix,6,10,MAS,Felipe,Massa,Brazilian,1,Finished,+25.272,Ferrari
2012,7,Canadian Grand Prix,8,11,DIR,Paul,di Resta,British,0,Finished,+37.693,Force India
2012,7,Canadian Grand Prix,13,12,HUL,Nico,Hülkenberg,German,0,Finished,+46.236,Force India
2012,7,Canadian Grand Prix,22,13,MAL,Pastor,Maldonado,Venezuelan,0,Finished,+47.052,Williams
2012,7,Canadian Grand Prix,14,14,RIC,Daniel,Ricciardo,Australian,0,Finished,+1:04.475,Toro Rosso
2012,7,Canadian Grand Prix,19,15,VER,Jean-Éric,Vergne,French,0,+1 Lap,,Toro Rosso
2012,7,Canadian Grand Prix,10,16,BUT,Jenson,Button,British,0,+1 Lap,,McLaren
2012,7,Canadian Grand Prix,16,17,SEN,Bruno,Senna,Brazilian,0,+1 Lap,,Williams
2012,7,Canadian Grand Prix,17,18,KOV,Heikki,Kovalainen,Finnish,0,+1 Lap,,Caterham
2012,7,Canadian Grand Prix,18,19,PET,Vitaly,Petrov,Russian,0,+1 Lap,,Caterham
2012,7,Canadian Grand Prix,23,20,PIC,Charles,Pic,French,0,+3 Laps,,Marussia
2012,7,Canadian Grand Prix,21,21,GLO,Timo,Glock,German,0,Suspension,,Marussia
2012,7,Canadian Grand Prix,9,22,MSC,Michael,Schumacher,German,0,Rear wing,,Mercedes
2012,7,Canadian Grand Prix,20,23,DLR,Pedro,de la Rosa,Spanish,0,Brakes,,HRT
2012,7,Canadian Grand Prix,24,24,KAR,Narain,Karthikeyan,Indian,0,Suspension,,HRT
