Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2012,8,European Grand Prix,11,1,ALO,Fernando,Alonso,Spanish,25,Finished,1:44:16.649,Ferrari
2012,8,European Grand Prix,5,2,RAI,Kimi,Räikkönen,Finnish,18,Finished,+6.421,Lotus F1
2012,8,European Grand Prix,12,3,MSC,Michael,Schumacher,German,15,Finished,+12.639,Mercedes
2012,8,European Grand Prix,19,4,WEB,Mark,Webber,Australian,12,Finished,+13.628,Red Bull
2012,8,European Grand Prix,8,5,HUL,Nico,Hülkenberg,German,10,Finished,+19.993,Force India
2012,8,European Grand Prix,6,6,ROS,Nico,Rosberg,German,8,Finished,+21.176,Mercedes
2012,8,European Grand Prix,10,7,DIR,Paul,di Resta,British,6,Finished,+22.866,Force India
2012,8,European Grand Prix,9,8,BUT,Jenson,Button,British,4,Finished,+24.653,McLaren
2012,8,European Grand Prix,15,9,PER,Sergio,Pérez,Mexican,2,Finished,+27.777,Sauber
2012,8,European Grand Prix,14,10,SEN,Bruno,Senna,Brazilian,1,Finished,+35.961,Williams
2012,8,European Grand Prix,17,11,RIC,Daniel,Ricciardo,Australian,0,Finished,+37.041,Toro Rosso
2012,8,European Grand Prix,3,12,MAL,Pastor,Maldonado,Venezuelan,0,Finished,+54.630,Williams
2012,8,European Grand Prix,20,13,PET,Vitaly,Petrov,Russian,0,Finished,+1:15.871,Caterham
2012,8,European Grand Prix,16,14,KOV,Heikki,Kovalainen,Finnish,0,Finished,+1:34.654,Caterham
2012,8,European Grand Prix,23,15,PIC,Charles,Pic,French,0,Finished,+1:36.551,Marussia
2012,8,European Grand Prix,13,16,MAS,Felipe,Massa,Brazilian,0,+1 Lap,,Ferrari
2012,8,European Grand Prix,21,17,DLR,Pedro,de la Rosa,Spanish,0,+1 Lap,,HRT
2012,8,European Grand Prix,22,18,KAR,Narain,Karthikeyan,Indian,0,+1 Lap,,HRT
2012,8,European Grand Prix,2,19,HAM,Lewis,Hamilton,British,0,Collision,,McLaren
2012,8,European Grand Prix,4,20,GRO,Romain,Grosjean,French,0,Electronics,,Lotus F1
2012,8,European Grand Prix,1,21,VET,Sebastian,Vettel,German,0,Gearbox,,Red Bull
2012,8,European Grand Prix,7,22,KOB,Kamui,Kobayashi,Japanese,0,Collision,,Sauber
2012,8,European Grand Prix,18,23,VER,Jean-Éric,Vergne,French,0,Collision,,Toro Rosso
2012,8,European Grand Prix,0,24,GLO,Timo,Glock,German,0,Withdrew,,Marussia
