Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2013,10,Hungarian Grand Prix,1,1,HAM,Lewis,Hamilton,British,25,Finished,1:42:29.445,Mercedes
2013,10,Hungarian Grand Prix,6,2,RAI,Kimi,Räikkönen,Finnish,18,Finished,+10.938,Lotus F1
2013,10,Hungarian Grand Prix,2,3,VET,Sebastian,Vettel,German,15,Finished,+12.459,Red Bull
2013,10,Hungarian Grand Prix,10,4,WEB,Mark,Webber,Australian,12,Finished,+18.044,Red Bull
2013,10,Hungarian Grand Prix,5,5,ALO,Fernando,Alonso,Spanish,10,Finished,+31.411,Ferrari
2013,10,Hungarian Grand Prix,3,6,GRO,Romain,Grosjean,French,8,Finished,+52.295,Lotus F1
2013,10,Hungarian Grand Prix,13,7,BUT,Jenson,Button,British,6,Finished,+53.819,McLaren
2013,10,Hungarian Grand Prix,7,8,MAS,Felipe,Massa,Brazilian,4,Finished,+56.447,Ferrari
2013,10,Hungarian Grand Prix,9,9,PER,Sergio,Pérez,Mexican,2,+1 Lap,,McLaren
2013,10,Hungarian Grand Prix,15,10,MAL,Pastor,Maldonado,Venezuelan,1,+1 Lap,,Williams
2013,10,Hungarian Grand Prix,12,11,HUL,Nico,Hülkenberg,German,0,+1 Lap,,Sauber
2013,10,Hungarian Grand Prix,14,12,VER,Jean-Éric,Vergne,French,0,+1 Lap,,Toro Rosso
2013,10,Hungarian Grand Prix,8,13,RIC,Daniel,Ricciardo,Australian,0,+1 Lap,,Toro Rosso
2013,10,Hungarian Grand Prix,20,14,VDG,Giedo,van der Garde,Dutch,0,+2 Laps,,Caterham
2013,10,Hungarian Grand Prix,19,15,PIC,Charles,Pic,French,0,+2 Laps,,Caterham
2013,10,Hungarian Grand Prix,21,16,BIA,Jules,Bianchi,French,0,+3 Laps,,Marussia
2013,10,Hungarian Grand Prix,22,17,CHI,Max,Chilton,British,0,+3 Laps,,Marussia
2013,10,Hungarian Grand Prix,18,18,DIR,Paul,di Resta,British,0,Hydraulics,,Force India
2013,10,Hungarian Grand Prix,4,19,ROS,Nico,Rosberg,German,0,Engine,,Mercedes
2013,10,Hungarian Grand Prix,16,20,BOT,Valtteri,Bottas,Finnish,0,Hydraulics,,Williams
2013,10,Hungarian Grand Prix,17,21,GUT,Esteban,Gutiérrez,Mexican,0,Transmission,,Sauber
2013,10,Hungarian Grand Prix,11,22,SUT,Adrian,Sutil,German,0,Hydraulics,,Force India
