Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2013,12,Italian Grand Prix,1,1,VET,Sebastian,Vettel,German,25,Finished,1:18:33.352,Red Bull
2013,12,Italian Grand Prix,5,2,ALO,Fernando,Alonso,Spanish,18,Finished,+5.467,Ferrari
2013,12,Italian Grand Prix,2,3,WEB,Mark,Webber,Australian,15,Finished,+6.350,Red Bull
2013,12,Italian Grand Prix,4,4,MAS,Felipe,Massa,Brazilian,12,Finished,+9.361,Ferrari
2013,12,Italian Grand Prix,3,5,HUL,Nico,Hülkenberg,German,10,Finished,+10.355,Sauber
2013,12,Italian Grand Prix,6,6,ROS,Nico,Rosberg,German,8,Finished,+10.999,Mercedes
2013,12,Italian Grand Prix,7,7,RIC,Daniel,Ricciardo,Australian,6,Finished,+32.329,Toro Rosso
2013,12,Italian Grand Prix,13,8,GRO,Romain,Grosjean,French,4,Finished,+33.130,Lotus F1
2013,12,Italian Grand Prix,12,9,HAM,Lewis,Hamilton,British,2,Finished,+33.527,Mercedes
2013,12,Italian Grand Prix,9,10,BUT,Jenson,Button,British,1,Finished,+38.327,McLaren
2013,12,Italian Grand Prix,11,11,RAI,Kimi,Räikkönen,Finnish,0,Finished,+38.695,Lotus F1
2013,12,Italian Grand Prix,8,12,PER,Sergio,Pérez,Mexican,0,Finished,+39.765,McLaren
2013,12,Italian Grand Prix,16,13,GUT,Esteban,Gutiérrez,Mexican,0,Finished,+40.880,Sauber
2013,12,Italian Grand Prix,14,14,MAL,Pastor,Maldonado,Venezuelan,0,Finished,+49.085,Williams
2013,12,Italian Grand Prix,18,15,BOT,Valtteri,Bottas,Finnish,0,Finished,+56.827,Williams
2013,12,Italian Grand Prix,17,16,SUT,Adrian,Sutil,German,0,+1 Lap,,Force India
2013,12,Italian Grand Prix,20,17,PIC,Charles,Pic,French,0,+1 Lap,,Caterham
2013,12,Italian Grand Prix,19,18,VDG,Giedo,van der Garde,Dutch,0,+1 Lap,,Caterham
2013,12,Italian Grand Prix,21,19,BIA,Jules,Bianchi,French,0,+1 Lap,,Marussia
2013,12,Italian Grand Prix,22,20,CHI,Max,Chilton,British,0,+1 Lap,,Marussia
2013,12,Italian Grand Prix,10,21,VER,Jean-Éric,Vergne,French,0,Transmission,,Toro Rosso
2013,12,Italian Grand Prix,15,22,DIR,Paul,di Resta,British,0,Accident,,Force India
