Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2013,17,Abu Dhabi Grand Prix,2,1,VET,Sebastian,Vettel,German,25,Finished,1:38:06.106,Red Bull
2013,17,Abu Dhabi Grand Prix,1,2,WEB,Mark,Webber,Australian,18,Finished,+30.829,Red Bull
2013,17,Abu Dhabi Grand Prix,3,3,ROS,Nico,Rosberg,German,15,Finished,+33.650,Mercedes
2013,17,Abu Dhabi Grand Prix,6,4,GRO,Romain,Grosjean,French,12,Finished,+34.802,Lotus F1
2013,17,Abu Dhabi Grand Prix,10,5,ALO,Fernando,Alonso,Spanish,10,Finished,+1:07.181,Ferrari
2013,17,Abu Dhabi Grand Prix,11,6,DIR,Paul,di Resta,British,8,Finished,+1:18.174,Force India
2013,17,Abu Dhabi Grand Prix,4,7,HAM,Lewis,Hamilton,British,6,Finished,+1:19.267,Mercedes
2013,17,Abu Dhabi Grand Prix,7,8,MAS,Felipe,Massa,Brazilian,4,Finished,+1:22.886,Ferrari
2013,17,Abu Dhabi Grand Prix,8,9,PER,Sergio,Pérez,Mexican,2,Finished,+1:31.198,McLaren
2013,17,Abu Dhabi Grand Prix,17,10,SUT,Adrian,Sutil,German,1,Finished,+1:33.257,Force India
2013,17,Abu Dhabi Grand Prix,14,11,MAL,Pastor,Maldonado,Venezuelan,0,Finished,+1:35.989,Williams
2013,17,Abu Dhabi Grand Prix,12,12,BUT,Jenson,Button,British,0,Finished,+1:43.767,McLaren
2013,17,Abu Dhabi Grand Prix,16,13,GUT,Esteban,Gutiérrez,Mexican,0,Finished,+1:44.295,Sauber
2013,17,Abu Dhabi Grand Prix,5,14,HUL,Nico,Hülkenberg,German,0,+1 Lap,,Sauber
2013,17,Abu Dhabi Grand Prix,15,15,BOT,Valtteri,Bottas,Finnish,0,+1 Lap,,Williams
2013,17,Abu Dhabi Grand Prix,9,16,RIC,Daniel,Ricciardo,Australian,0,+1 Lap,,Toro Rosso
2013,17,Abu Dhabi Grand Prix,13,17,VER,Jean-Éric,Vergne,French,0,+1 Lap,,Toro Rosso
2013,17,Abu Dhabi Grand Prix,18,18,VDG,Giedo,van der Garde,Dutch,0,+1 Lap,,Caterham
2013,17,Abu Dhabi Grand Prix,19,19,PIC,Charles,Pic,French,0,+1 Lap,,Caterham
2013,17,Abu Dhabi Grand Prix,21,20,BIA,Jules,Bianchi,French,0,+2 Laps,,Marussia
2013,17,Abu Dhabi Grand Prix,20,21,CHI,Max,Chilton,British,0,+2 Laps,,Marussia
2013,17,Abu Dhabi Grand Prix,22,22,RAI,Kimi,Räikkönen,Finnish,0,Accident,,Lotus F1
