Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2013,18,United States Grand Prix,1,1,VET,Sebastian,Vettel,German,25,Finished,1:39:17.148,Red Bull
2013,18,United States Grand Prix,3,2,GRO,Romain,Grosjean,French,18,Finished,+6.284,Lotus F1
2013,18,United States Grand Prix,2,3,WEB,Mark,Webber,Australian,15,Finished,+8.396,Red Bull
2013,18,United States Grand Prix,5,4,HAM,Lewis,Hamilton,British,12,Finished,+27.358,Mercedes
2013,18,United States Grand Prix,6,5,ALO,Fernando,Alonso,Spanish,10,Finished,+29.592,Ferrari
2013,18,United States Grand Prix,4,6,HUL,Nico,Hülkenberg,German,8,Finished,+30.400,Sauber
2013,18,United States Grand Prix,7,7,PER,Sergio,Pérez,Mexican,6,Finished,+46.692,McLaren
2013,18,United States Grand Prix,9,8,BOT,Valtteri,Bottas,Finnish,4,Finished,+54.509,Williams
2013,18,United States Grand Prix,12,9,ROS,Nico,Rosberg,German,2,Finished,+59.141,Mercedes
2013,18,United States Grand Prix,15,10,BUT,Jenson,Button,British,1,Finished,+1:17.278,McLaren
2013,18,United States Grand Prix,10,11,RIC,Daniel,Ricciardo,Australian,0,Finished,+1:21.004,Toro Rosso
2013,18,United States Grand Prix,14,12,VER,Jean-Éric,Vergne,French,0,Finished,+1:24.574,Toro Rosso
2013,18,United States Grand Prix,13,13,MAS,Felipe,Massa,Brazilian,0,Finished,+1:26.914,Ferrari
2013,18,United States Grand Prix,20,14,GUT,Esteban,Gutiérrez,Mexican,0,Finished,+1:31.707,Sauber
2013,18,United States Grand Prix,8,15,KOV,Heikki,Kovalainen,Finnish,0,Finished,+1:35.063,Lotus F1
2013,18,United States Grand Prix,11,16,DIR,Paul,di Resta,British,0,Finished,+1:36.853,Force India
2013,18,United States Grand Prix,17,17,MAL,Pastor,Maldonado,Venezuelan,0,+1 Lap,,Williams
2013,18,United States Grand Prix,19,18,BIA,Jules,Bianchi,French,0,+1 Lap,,Marussia
2013,18,United States Grand Prix,18,19,VDG,Giedo,van der Garde,Dutch,0,+1 Lap,,Caterham
2013,18,United States Grand Prix,22,20,PIC,Charles,Pic,French,0,+1 Lap,,Caterham
2013,18,United States Grand Prix,21,21,CHI,Max,Chilton,British,0,+2 Laps,,Marussia
2013,18,United States Grand Prix,16,22,SUT,Adrian,Sutil,German,0,Accident,,Force India
