Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2013,5,Spanish Grand Prix,5,1,ALO,Fernando,Alonso,Spanish,25,Finished,1:39:16.596,Ferrari
2013,5,Spanish Grand Prix,4,2,RAI,Kimi,Räikkönen,Finnish,18,Finished,+9.338,Lotus F1
2013,5,Spanish Grand Prix,9,3,MAS,Felipe,Massa,Brazilian,15,Finished,+26.049,Ferrari
2013,5,Spanish Grand Prix,3,4,VET,Sebastian,Vettel,German,12,Finished,+38.273,Red Bull
2013,5,Spanish Grand Prix,7,5,WEB,Mark,Webber,Australian,10,Finished,+47.963,Red Bull
2013,5,Spanish Grand Prix,1,6,ROS,Nico,Rosberg,German,8,Finished,+1:08.020,Mercedes
2013,5,Spanish Grand Prix,10,7,DIR,Paul,di Resta,British,6,Finished,+1:08.988,Force India
2013,5,Spanish Grand Prix,14,8,BUT,Jenson,Button,British,4,Finished,+1:19.506,McLaren
2013,5,Spanish Grand Prix,8,9,PER,Sergio,Pérez,Mexican,2,Finished,+1:21.738,McLaren
2013,5,Spanish Grand Prix,11,10,RIC,Daniel,Ricciardo,Australian,1,+1 Lap,,Toro Rosso
2013,5,Spanish Grand Prix,19,11,GUT,Esteban,Gutiérrez,Mexican,0,+1 Lap,,Sauber
2013,5,Spanish Grand Prix,2,12,HAM,Lewis,Hamilton,British,0,+1 Lap,,Mercedes
2013,5,Spanish Grand Prix,13,13,SUT,Adrian,Sutil,German,0,+1 Lap,,Force India
2013,5,Spanish Grand Prix,17,14,MAL,Pastor,Maldonado,Venezuelan,0,+1 Lap,,Williams
2013,5,Spanish Grand Prix,15,15,HUL,Nico,Hülkenberg,German,0,+1 Lap,,Sauber
2013,5,Spanish Grand Prix,16,16,BOT,Valtteri,Bottas,Finnish,0,+1 Lap,,Williams
2013,5,Spanish Grand Prix,22,17,PIC,Charles,Pic,French,0,+1 Lap,,Caterham
2013,5,Spanish Grand Prix,20,18,BIA,Jules,Bianchi,French,0,+2 Laps,,Marussia
2013,5,Spanish Grand Prix,21,19,CHI,Max,Chilton,British,0,+2 Laps,,Marussia
2013,5,Spanish Grand Prix,12,20,VER,Jean-Éric,Vergne,French,0,Accident,,Toro Rosso
2013,5,Spanish Grand Prix,18,21,VDG,Giedo,van der Garde,Dutch,0,Wheel,,Caterham
2013,5,Spanish Grand Prix,6,22,GRO,Romain,Grosjean,French,0,Suspension,,Lotus F1
