Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2014,10,German Grand Prix,1,1,ROS,Nico,Rosberg,German,25,Finished,1:33:42.914,Mercedes
2014,10,German Grand Prix,2,2,BOT,Valtteri,Bottas,Finnish,18,Finished,+20.789,Williams
2014,10,German Grand Prix,20,3,HAM,Lewis,Hamilton,British,15,Finished,+22.530,Mercedes
2014,10,German Grand Prix,6,4,VET,Sebastian,Vettel,German,12,Finished,+44.014,Red Bull
2014,10,German Grand Prix,7,5,ALO,Fernando,Alonso,Spanish,10,Finished,+52.467,Ferrari
2014,10,German Grand Prix,5,6,RIC,Daniel,Ricciardo,Australian,8,Finished,+52.549,Red Bull
2014,10,German Grand Prix,9,7,HUL,Nico,Hülkenberg,German,6,Finished,+1:04.178,Force India
2014,10,German Grand Prix,11,8,BUT,Jenson,Button,British,4,Finished,+1:24.711,McLaren
2014,10,German Grand Prix,4,9,MAG,Kevin,Magnussen,Danish,2,+1 Lap,,McLaren
2014,10,German Grand Prix,10,10,PER,Sergio,Pérez,Mexican,1,+1 Lap,,Force India
2014,10,German Grand Prix,12,11,RAI,Kimi,Räikkönen,Finnish,0,+1 Lap,,Ferrari
2014,10,German Grand Prix,18,12,MAL,Pastor,Maldonado,Venezuelan,0,+1 Lap,,Lotus F1
2014,10,German Grand Prix,13,13,VER,Jean-Éric,Vergne,French,0,+1 Lap,,Toro Rosso
2014,10,German Grand Prix,16,14,GUT,Esteban,Gutiérrez,Mexican,0,+1 Lap,,Sauber
2014,10,German Grand Prix,17,15,BIA,Jules,Bianchi,French,0,+1 Lap,,Marussia
2014,10,German Grand Prix,19,16,KOB,Kamui,Kobayashi,Japanese,0,+2 Laps,,Caterham
2014,10,German Grand Prix,21,17,CHI,Max,Chilton,British,0,+2 Laps,,Marussia
2014,10,German Grand Prix,22,18,ERI,Marcus,Ericsson,Swedish,0,+2 Laps,,Caterham
2014,10,German Grand Prix,15,19,SUT,Adrian,Sutil,German,0,Brakes,,Sauber
2014,10,German Grand Prix,8,20,KVY,Daniil,Kvyat,Russian,0,Oil leak,,Toro Rosso
2014,10,German Grand Prix,14,21,GRO,Romain,Grosjean,French,0,Water leak,,Lotus F1
2014,10,German Grand Prix,3,22,MAS,Felipe,Massa,Brazilian,0,Collision,,Williams
