Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2014,16,Russian Grand Prix,1,1,HAM,Lewis,Hamilton,British,25,Finished,1:31:50.744,Mercedes
2014,16,Russian Grand Prix,2,2,ROS,Nico,Rosberg,German,18,Finished,+13.657,Mercedes
2014,16,Russian Grand Prix,3,3,BOT,Valtteri,Bottas,Finnish,15,Finished,+17.425,Williams
2014,16,Russian Grand Prix,4,4,BUT,Jenson,Button,British,12,Finished,+30.234,McLaren
2014,16,Russian Grand Prix,11,5,MAG,Kevin,Magnussen,Danish,10,Finished,+53.616,McLaren
2014,16,Russian Grand Prix,7,6,ALO,Fernando,Alonso,Spanish,8,Finished,+1:00.016,Ferrari
2014,16,Russian Grand Prix,6,7,RIC,Daniel,Ricciardo,Australian,6,Finished,+1:01.812,Red Bull
2014,16,Russian Grand Prix,10,8,VET,Sebastian,Vettel,German,4,Finished,+1:06.185,Red Bull
2014,16,Russian Grand Prix,8,9,RAI,Kimi,Räikkönen,Finnish,2,Finished,+1:18.877,Ferrari
2014,16,Russian Grand Prix,12,10,PER,Sergio,Pérez,Mexican,1,Finished,+1:20.067,Force India
2014,16,Russian Grand Prix,18,11,MAS,Felipe,Massa,Brazilian,0,Finished,+1:20.877,Williams
2014,16,Russian Grand Prix,17,12,HUL,Nico,Hülkenberg,German,0,Finished,+1:21.309,Force India
2014,16,Russian Grand Prix,9,13,VER,Jean-Éric,Vergne,French,0,Finished,+1:37.295,Toro Rosso
2014,16,Russian Grand Prix,5,14,KVY,Daniil,Kvyat,Russian,0,+1 Lap,,Toro Rosso
2014,16,Russian Grand Prix,13,15,GUT,Esteban,Gutiérrez,Mexican,0,+1 Lap,,Sauber
2014,16,Russian Grand Prix,14,16,SUT,Adrian,Sutil,German,0,+1 Lap,,Sauber
2014,16,Russian Grand Prix,15,17,GRO,Romain,Grosjean,French,0,+1 Lap,,Lotus F1
2014,16,Russian Grand Prix,21,18,MAL,Pastor,Maldonado,Venezuelan,0,+1 Lap,,Lotus F1
2014,16,Russian Grand Prix,16,19,ERI,Marcus,Ericsson,Swedish,0,+2 Laps,,Caterham
2014,16,Russian Grand Prix,19,20,KOB,Kamui,Kobayashi,Japanese,0,Brakes,,Caterham
2014,16,Russian Grand Prix,20,21,CHI,Max,Chilton,British,0,Suspension,,Marussia
