Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2014,2,Malaysian Grand Prix,1,1,HAM,Lewis,Hamilton,British,25,Finished,1:40:25.974,Mercedes
2014,2,Malaysian Grand Prix,3,2,ROS,Nico,Rosberg,German,18,Finished,+17.313,Mercedes
2014,2,Malaysian Grand Prix,2,3,VET,Sebastian,Vettel,German,15,Finished,+24.534,Red Bull
2014,2,Malaysian Grand Prix,4,4,ALO,Fernando,Alonso,Spanish,12,Finished,+35.992,Ferrari
2014,2,Malaysian Grand Prix,7,5,HUL,Nico,Hülkenberg,German,10,Finished,+47.199,Force India
2014,2,Malaysian Grand Prix,10,6,BUT,Jenson,Button,British,8,Finished,+1:23.691,McLaren
2014,2,Malaysian Grand Prix,13,7,MAS,Felipe,Massa,Brazilian,6,Finished,+1:25.076,Williams
2014,2,Malaysian Grand Prix,18,8,BOT,Valtteri,Bottas,Finnish,4,Finished,+1:25.537,Williams
2014,2,Malaysian Grand Prix,8,9,MAG,Kevin,Magnussen,Danish,2,+1 Lap,,McLaren
2014,2,Malaysian Grand Prix,11,10,KVY,Daniil,Kvyat,Russian,1,+1 Lap,,Toro Rosso
2014,2,Malaysian Grand Prix,15,11,GRO,Romain,Grosjean,French,0,+1 Lap,,Lotus F1
2014,2,Malaysian Grand Prix,6,12,RAI,Kimi,Räikkönen,Finnish,0,+1 Lap,,Ferrari
2014,2,Malaysian Grand Prix,20,13,KOB,Kamui,Kobayashi,Japanese,0,+1 Lap,,Caterham
2014,2,Malaysian Grand Prix,22,14,ERI,Marcus,Ericsson,Swedish,0,+2 Laps,,Caterham
2014,2,Malaysian Grand Prix,21,15,CHI,Max,Chilton,British,0,+2 Laps,,Marussia
2014,2,Malaysian Grand Prix,5,16,RIC,Daniel,Ricciardo,Australian,0,Technical,,Red Bull
2014,2,Malaysian Grand Prix,12,17,GUT,Esteban,Gutiérrez,Mexican,0,Gearbox,,Sauber
2014,2,Malaysian Grand Prix,17,18,SUT,Adrian,Sutil,German,0,Electrical,,Sauber
2014,2,Malaysian Grand Prix,9,19,VER,Jean-Éric,Vergne,French,0,Power Unit,,Toro Rosso
2014,2,Malaysian Grand Prix,19,20,BIA,Jules,Bianchi,French,0,Brakes,,Marussia
2014,2,Malaysian Grand Prix,16,21,MAL,Pastor,Maldonado,Venezuelan,0,Engine,,Lotus F1
2014,2,Malaysian Grand Prix,14,22,PER,Sergio,Pérez,Mexican,0,Withdrew,,Force India
