Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2015,10,Hungarian Grand Prix,3,1,VET,Sebastian,Vettel,German,25,Finished,1:46:09.985,Ferrari
2015,10,Hungarian Grand Prix,7,2,KVY,Daniil,Kvyat,Russian,18,Finished,+15.748,Red Bull
2015,10,Hungarian Grand Prix,4,3,RIC,Daniel,Ricciardo,Australian,15,Finished,+25.084,Red Bull
2015,10,Hungarian Grand Prix,9,4,VER,Max,Verstappen,Dutch,12,Finished,+44.251,Toro Rosso
2015,10,Hungarian Grand Prix,15,5,ALO,Fernando,Alonso,Spanish,10,Finished,+49.079,McLaren
2015,10,Hungarian Grand Prix,1,6,HAM,Lewis,Hamilton,British,8,Finished,+52.025,Mercedes
2015,10,Hungarian Grand Prix,10,7,GRO,Romain,Grosjean,French,6,Finished,+58.578,Lotus F1
2015,10,Hungarian Grand Prix,2,8,ROS,Nico,Rosberg,German,4,Finished,+58.876,Mercedes
2015,10,Hungarian Grand Prix,16,9,BUT,Jenson,Button,British,2,Finished,+1:07.028,McLaren
2015,10,Hungarian Grand Prix,17,10,ERI,Marcus,Ericsson,Swedish,1,Finished,+1:09.130,Sauber
2015,10,Hungarian Grand Prix,18,11,NAS,Felipe,Nasr,Brazilian,0,Finished,+1:13.458,Sauber
2015,10,Hungarian Grand Prix,8,12,MAS,Felipe,Massa,Brazilian,0,Finished,+1:14.278,Williams
2015,10,Hungarian Grand Prix,6,13,BOT,Valtteri,Bottas,Finnish,0,Finished,+1:20.228,Williams
2015,10,Hungarian Grand Prix,14,14,MAL,Pastor,Maldonado,Venezuelan,0,Finished,+1:25.142,Lotus F1
2015,10,Hungarian Grand Prix,19,15,MER,Roberto,Merhi,Spanish,0,+2 Laps,,Manor Marussia
2015,10,Hungarian Grand Prix,20,16,STE,Will,Stevens,British,0,+4 Laps,,Manor Marussia
2015,10,Hungarian Grand Prix,12,17,SAI,Carlos,Sainz,Spanish,0,Electrical,,Toro Rosso
2015,10,Hungarian Grand Prix,5,18,RAI,Kimi,Räikkönen,Finnish,0,Power Unit,,Ferrari
2015,10,Hungarian Grand Prix,13,19,PER,Sergio,Pérez,Mexican,0,Suspension,,Force India
2015,10,Hungarian Grand Prix,11,20,HUL,Nico,Hülkenberg,German,0,Front wing,,Force India
