Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2015,12,Italian Grand Prix,1,1,HAM,Lewis,Hamilton,British,25,Finished,1:18:00.688,Mercedes
2015,12,Italian Grand Prix,3,2,VET,Sebastian,Vettel,German,18,Finished,+25.042,Ferrari
2015,12,Italian Grand Prix,5,3,MAS,Felipe,Massa,Brazilian,15,Finished,+47.635,Williams
2015,12,Italian Grand Prix,6,4,BOT,Valtteri,Bottas,Finnish,12,Finished,+47.996,Williams
2015,12,Italian Grand Prix,2,5,RAI,Kimi,Räikkönen,Finnish,10,Finished,+1:08.860,Ferrari
2015,12,Italian Grand Prix,7,6,PER,Sergio,Pérez,Mexican,8,Finished,+1:12.783,Force India
2015,12,Italian Grand Prix,9,7,HUL,Nico,Hülkenberg,German,6,+1 Lap,,Force India
2015,12,Italian Grand Prix,19,8,RIC,Daniel,Ricciardo,Australian,4,+1 Lap,,Red Bull
2015,12,Italian Grand Prix,12,9,ERI,Marcus,Ericsson,Swedish,2,+1 Lap,,Sauber
2015,12,Italian Grand Prix,18,10,KVY,Daniil,Kvyat,Russian,1,+1 Lap,,Red Bull
2015,12,Italian Grand Prix,17,11,SAI,Carlos,Sainz,Spanish,0,+1 Lap,,Toro Rosso
2015,12,Italian Grand Prix,20,12,VER,Max,Verstappen,Dutch,0,+1 Lap,,Toro Rosso
2015,12,Italian Grand Prix,17,13,NAS,Felipe,Nasr,Brazilian,0,+1 Lap,,Sauber
2015,12,Italian Grand Prix,15,14,BUT,Jenson,Button,British,0,+1 Lap,,McLaren
2015,12,Italian Grand Prix,13,15,STE,Will,Stevens,British,0,+2 Laps,,Manor Marussia
2015,12,Italian Grand Prix,14,16,MER,Roberto,Merhi,Spanish,0,+2 Laps,,Manor Marussia
2015,12,Italian Grand Prix,4,17,ROS,Nico,Rosberg,German,0,+3 Laps,,Mercedes
2015,12,Italian Grand Prix,16,18,ALO,Fernando,Alonso,Spanish,0,+6 Laps,,McLaren
2015,12,Italian Grand Prix,8,19,GRO,Romain,Grosjean,French,0,Collision damage,,Lotus F1
2015,12,Italian Grand Prix,10,20,MAL,Pastor,Maldonado,Venezuelan,0,Collision damage,,Lotus F1
