Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2015,13,Singapore Grand Prix,1,1,VET,Sebastian,Vettel,German,25,Finished,2:01:22.118,Ferrari
2015,13,Singapore Grand Prix,2,2,RIC,Daniel,Ricciardo,Australian,18,Finished,+1.478,Red Bull
2015,13,Singapore Grand Prix,3,3,RAI,Kimi,Räikkönen,Finnish,15,Finished,+17.154,Ferrari
2015,13,Singapore Grand Prix,6,4,ROS,Nico,Rosberg,German,12,Finished,+24.720,Mercedes
2015,13,Singapore Grand Prix,7,5,BOT,Valtteri,Bottas,Finnish,10,Finished,+34.204,Williams
2015,13,Singapore Grand Prix,4,6,KVY,Daniil,Kvyat,Russian,8,Finished,+35.508,Red Bull
2015,13,Singapore Grand Prix,13,7,PER,Sergio,Pérez,Mexican,6,Finished,+50.836,Force India
2015,13,Singapore Grand Prix,8,8,VER,Max,Verstappen,Dutch,4,Finished,+51.450,Toro Rosso
2015,13,Singapore Grand Prix,14,9,SAI,Carlos,Sainz,Spanish,2,Finished,+52.860,Toro Rosso
2015,13,Singapore Grand Prix,16,10,NAS,Felipe,Nasr,Brazilian,1,Finished,+1:30.045,Sauber
2015,13,Singapore Grand Prix,17,11,ERI,Marcus,Ericsson,Swedish,0,Finished,+1:37.507,Sauber
2015,13,Singapore Grand Prix,18,12,MAL,Pastor,Maldonado,Venezuelan,0,Finished,+1:37.718,Lotus F1
2015,13,Singapore Grand Prix,10,13,GRO,Romain,Grosjean,French,0,Tyre,,Lotus F1
2015,13,Singapore Grand Prix,20,14,RSS,Alexander,Rossi,American,0,+2 Laps,,Manor Marussia
2015,13,Singapore Grand Prix,19,15,STE,Will,Stevens,British,0,+2 Laps,,Manor Marussia
2015,13,Singapore Grand Prix,15,16,BUT,Jenson,Button,British,0,Gearbox,,McLaren
2015,13,Singapore Grand Prix,12,17,ALO,Fernando,Alonso,Spanish,0,Gearbox,,McLaren
2015,13,Singapore Grand Prix,5,18,HAM,Lewis,Hamilton,British,0,Throttle,,Mercedes
2015,13,Singapore Grand Prix,9,19,MAS,Felipe,Massa,Brazilian,0,Gearbox,,Williams
2015,13,Singapore Grand Prix,11,20,HUL,Nico,Hülkenberg,German,0,Collision,,Force India
