Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2015,14,Japanese Grand Prix,2,1,HAM,Lewis,Hamilton,British,25,Finished,1:28:06.508,Mercedes
2015,14,Japanese Grand Prix,1,2,ROS,Nico,Rosberg,German,18,Finished,+18.964,Mercedes
2015,14,Japanese Grand Prix,4,3,VET,Sebastian,Vettel,German,15,Finished,+20.850,Ferrari
2015,14,Japanese Grand Prix,6,4,RAI,Kimi,Räikkönen,Finnish,12,Finished,+33.768,Ferrari
2015,14,Japanese Grand Prix,3,5,BOT,Valtteri,Bottas,Finnish,10,Finished,+36.746,Williams
2015,14,Japanese Grand Prix,13,6,HUL,Nico,Hülkenberg,German,8,Finished,+55.559,Force India
2015,14,Japanese Grand Prix,8,7,GRO,Romain,Grosjean,French,6,Finished,+1:12.298,Lotus F1
2015,14,Japanese Grand Prix,11,8,MAL,Pastor,Maldonado,Venezuelan,4,Finished,+1:13.575,Lotus F1
2015,14,Japanese Grand Prix,17,9,VER,Max,Verstappen,Dutch,2,Finished,+1:35.315,Toro Rosso
2015,14,Japanese Grand Prix,10,10,SAI,Carlos,Sainz,Spanish,1,+1 Lap,,Toro Rosso
2015,14,Japanese Grand Prix,12,11,ALO,Fernando,Alonso,Spanish,0,+1 Lap,,McLaren
2015,14,Japanese Grand Prix,9,12,PER,Sergio,Pérez,Mexican,0,+1 Lap,,Force India
2015,14,Japanese Grand Prix,20,13,KVY,Daniil,Kvyat,Russian,0,+1 Lap,,Red Bull
2015,14,Japanese Grand Prix,15,14,ERI,Marcus,Ericsson,Swedish,0,+1 Lap,,Sauber
2015,14,Japanese Grand Prix,7,15,RIC,Daniel,Ricciardo,Australian,0,+1 Lap,,Red Bull
2015,14,Japanese Grand Prix,14,16,BUT,Jenson,Button,British,0,+1 Lap,,McLaren
2015,14,Japanese Grand Prix,5,17,MAS,Felipe,Massa,Brazilian,0,+2 Laps,,Williams
2015,14,Japanese Grand Prix,19,18,RSS,Alexander,Rossi,American,0,+2 Laps,,Manor Marussia
2015,14,Japanese Grand Prix,18,19,STE,Will,Stevens,British,0,+3 Laps,,Manor Marussia
2015,14,Japanese Grand Prix,16,20,NAS,Felipe,Nasr,Brazilian,0,Retired,,Sauber
