Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2015,3,Chinese Grand Prix,1,1,HAM,Lewis,Hamilton,British,25,Finished,1:39:42.008,Mercedes
2015,3,Chinese Grand Prix,2,2,ROS,Nico,Rosberg,German,18,Finished,+0.714,Mercedes
2015,3,Chinese Grand Prix,3,3,VET,Sebastian,Vettel,German,15,Finished,+2.988,Ferrari
2015,3,Chinese Grand Prix,6,4,RAI,Kimi,Räikkönen,Finnish,12,Finished,+3.835,Ferrari
2015,3,Chinese Grand Prix,4,5,MAS,Felipe,Massa,Brazilian,10,Finished,+8.544,Williams
2015,3,Chinese Grand Prix,5,6,BOT,Valtteri,Bottas,Finnish,8,Finished,+9.885,Williams
2015,3,Chinese Grand Prix,8,7,GRO,Romain,Grosjean,French,6,Finished,+19.008,Lotus F1
2015,3,Chinese Grand Prix,9,8,NAS,Felipe,Nasr,Brazilian,4,Finished,+22.625,Sauber
2015,3,Chinese Grand Prix,7,9,RIC,Daniel,Ricciardo,Australian,2,Finished,+32.117,Red Bull
2015,3,Chinese Grand Prix,10,10,ERI,Marcus,Ericsson,Swedish,1,+1 Lap,,Sauber
2015,3,Chinese Grand Prix,15,11,PER,Sergio,Pérez,Mexican,0,+1 Lap,,Force India
2015,3,Chinese Grand Prix,18,12,ALO,Fernando,Alonso,Spanish,0,+1 Lap,,McLaren
2015,3,Chinese Grand Prix,14,13,SAI,Carlos,Sainz,Spanish,0,+1 Lap,,Toro Rosso
2015,3,Chinese Grand Prix,17,14,BUT,Jenson,Button,British,0,+1 Lap,,McLaren
2015,3,Chinese Grand Prix,19,15,STE,Will,Stevens,British,0,+2 Laps,,Manor Marussia
2015,3,Chinese Grand Prix,20,16,MER,Roberto,Merhi,Spanish,0,+2 Laps,,Manor Marussia
2015,3,Chinese Grand Prix,13,17,VER,Max,Verstappen,Dutch,0,Transmission,,Toro Rosso
2015,3,Chinese Grand Prix,11,18,MAL,Pastor,Maldonado,Venezuelan,0,Brakes,,Lotus F1
2015,3,Chinese Grand Prix,12,19,KVY,Daniil,Kvyat,Russian,0,Power Unit,,Red Bull
2015,3,Chinese Grand Prix,16,20,HUL,Nico,Hülkenberg,German,0,Gearbox,,Force India
