Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2015,4,Bahrain Grand Prix,1,1,HAM,Lewis,Hamilton,British,25,Finished,1:35:05.809,Mercedes
2015,4,Bahrain Grand Prix,4,2,RAI,Kimi,Räikkönen,Finnish,18,Finished,+3.380,Ferrari
2015,4,Bahrain Grand Prix,3,3,ROS,Nico,Rosberg,German,15,Finished,+6.033,Mercedes
2015,4,Bahrain Grand Prix,5,4,BOT,Valtteri,Bottas,Finnish,12,Finished,+42.957,Williams
2015,4,Bahrain Grand Prix,2,5,VET,Sebastian,Vettel,German,10,Finished,+43.989,Ferrari
2015,4,Bahrain Grand Prix,7,6,RIC,Daniel,Ricciardo,Australian,8,Finished,+1:01.751,Red Bull
2015,4,Bahrain Grand Prix,10,7,GRO,Romain,Grosjean,French,6,Finished,+1:24.763,Lotus F1
2015,4,Bahrain Grand Prix,11,8,PER,Sergio,Pérez,Mexican,4,+1 Lap,,Force India
2015,4,Bahrain Grand Prix,17,9,KVY,Daniil,Kvyat,Russian,2,+1 Lap,,Red Bull
2015,4,Bahrain Grand Prix,6,10,MAS,Felipe,Massa,Brazilian,1,+1 Lap,,Williams
2015,4,Bahrain Grand Prix,14,11,ALO,Fernando,Alonso,Spanish,0,+1 Lap,,McLaren
2015,4,Bahrain Grand Prix,12,12,NAS,Felipe,Nasr,Brazilian,0,+1 Lap,,Sauber
2015,4,Bahrain Grand Prix,8,13,HUL,Nico,Hülkenberg,German,0,+1 Lap,,Force India
2015,4,Bahrain Grand Prix,13,14,ERI,Marcus,Ericsson,Swedish,0,+1 Lap,,Sauber
2015,4,Bahrain Grand Prix,16,15,MAL,Pastor,Maldonado,Venezuelan,0,+1 Lap,,Lotus F1
2015,4,Bahrain Grand Prix,18,16,STE,Will,Stevens,British,0,+2 Laps,,Manor Marussia
2015,4,Bahrain Grand Prix,19,17,MER,Roberto,Merhi,Spanish,0,+3 Laps,,Manor Marussia
2015,4,Bahrain Grand Prix,15,18,VER,Max,Verstappen,Dutch,0,Electrical,,Toro Rosso
2015,4,Bahrain Grand Prix,9,19,SAI,Carlos,Sainz,Spanish,0,Engine,,Toro Rosso
2015,4,Bahrain Grand Prix,20,20,BUT,Jenson,Button,British,0,ERS,,McLaren
