Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2015,6,Monaco Grand Prix,2,1,ROS,Nico,Rosberg,German,25,Finished,1:49:18.420,Mercedes
2015,6,Monaco Grand Prix,3,2,VET,Sebastian,Vettel,German,18,Finished,+4.486,Ferrari
2015,6,Monaco Grand Prix,1,3,HAM,Lewis,Hamilton,British,15,Finished,+6.053,Mercedes
2015,6,Monaco Grand Prix,5,4,KVY,Daniil,Kvyat,Russian,12,Finished,+11.965,Red Bull
2015,6,Monaco Grand Prix,4,5,RIC,Daniel,Ricciardo,Australian,10,Finished,+13.608,Red Bull
2015,6,Monaco Grand Prix,6,6,RAI,Kimi,Räikkönen,Finnish,8,Finished,+14.345,Ferrari
2015,6,Monaco Grand Prix,7,7,PER,Sergio,Pérez,Mexican,6,Finished,+15.013,Force India
2015,6,Monaco Grand Prix,10,8,BUT,Jenson,Button,British,4,Finished,+16.063,McLaren
2015,6,Monaco Grand Prix,14,9,NAS,Felipe,Nasr,Brazilian,2,Finished,+23.626,Sauber
2015,6,Monaco Grand Prix,0,10,SAI,Carlos,Sainz,Spanish,1,Finished,+25.056,Toro Rosso
2015,6,Monaco Grand Prix,11,11,HUL,Nico,Hülkenberg,German,0,Finished,+26.232,Force India
2015,6,Monaco Grand Prix,15,12,GRO,Romain,Grosjean,French,0,Finished,+28.415,Lotus F1
2015,6,Monaco Grand Prix,17,13,ERI,Marcus,Ericsson,Swedish,0,Finished,+31.159,Sauber
2015,6,Monaco Grand Prix,16,14,BOT,Valtteri,Bottas,Finnish,0,Finished,+45.789,Williams
2015,6,Monaco Grand Prix,12,15,MAS,Felipe,Massa,Brazilian,0,+1 Lap,,Williams
2015,6,Monaco Grand Prix,19,16,MER,Roberto,Merhi,Spanish,0,+2 Laps,,Manor Marussia
2015,6,Monaco Grand Prix,18,17,STE,Will,Stevens,British,0,+2 Laps,,Manor Marussia
2015,6,Monaco Grand Prix,9,18,VER,Max,Verstappen,Dutch,0,Accident,,Toro Rosso
2015,6,Monaco Grand Prix,13,19,ALO,Fernando,Alonso,Spanish,0,Gearbox,,McLaren
2015,6,Monaco Grand Prix,8,20,MAL,Pastor,Maldonado,Venezuelan,0,Brakes,,Lotus F1
