Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2015,8,Austrian Grand Prix,2,1,ROS,Nico,Rosberg,German,25,Finished,1:30:16.930,Mercedes
2015,8,Austrian Grand Prix,1,2,HAM,Lewis,Hamilton,British,18,Finished,+8.800,Mercedes
2015,8,Austrian Grand Prix,4,3,MAS,Felipe,Massa,Brazilian,15,Finished,+17.573,Williams
2015,8,Austrian Grand Prix,3,4,VET,Sebastian,Vettel,German,12,Finished,+18.181,Ferrari
2015,8,Austrian Grand Prix,6,5,BOT,Valtteri,Bottas,Finnish,10,Finished,+53.604,Williams
2015,8,Austrian Grand Prix,5,6,HUL,Nico,Hülkenberg,German,8,Finished,+1:04.075,Force India
2015,8,Austrian Grand Prix,10,7,MAL,Pastor,Maldonado,Venezuelan,6,+1 Lap,,Lotus F1
2015,8,Austrian Grand Prix,7,8,VER,Max,Verstappen,Dutch,4,+1 Lap,,Toro Rosso
2015,8,Austrian Grand Prix,13,9,PER,Sergio,Pérez,Mexican,2,+1 Lap,,Force India
2015,8,Austrian Grand Prix,18,10,RIC,Daniel,Ricciardo,Australian,1,+1 Lap,,Red Bull
2015,8,Austrian Grand Prix,8,11,NAS,Felipe,Nasr,Brazilian,0,+1 Lap,,Sauber
2015,8,Austrian Grand Prix,15,12,KVY,Daniil,Kvyat,Russian,0,+1 Lap,,Red Bull
2015,8,Austrian Grand Prix,11,13,ERI,Marcus,Ericsson,Swedish,0,+2 Laps,,Sauber
2015,8,Austrian Grand Prix,16,14,MER,Roberto,Merhi,Spanish,0,+3 Laps,,Manor Marussia
2015,8,Austrian Grand Prix,9,15,GRO,Romain,Grosjean,French,0,Gearbox,,Lotus F1
2015,8,Austrian Grand Prix,12,16,SAI,Carlos,Sainz,Spanish,0,Power loss,,Toro Rosso
2015,8,Austrian Grand Prix,20,17,BUT,Jenson,Button,British,0,Retired,,McLaren
2015,8,Austrian Grand Prix,17,18,STE,Will,Stevens,British,0,Oil leak,,Manor Marussia
2015,8,Austrian Grand Prix,14,19,RAI,Kimi,Räikkönen,Finnish,0,Collision,,Ferrari
2015,8,Austrian Grand Prix,19,20,ALO,Fernando,Alonso,Spanish,0,Collision,,McLaren
