Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2015,9,British Grand Prix,1,1,HAM,Lewis,Hamilton,British,25,Finished,1:31:27.729,Mercedes
2015,9,British Grand Prix,2,2,ROS,Nico,Rosberg,German,18,Finished,+10.956,Mercedes
2015,9,British Grand Prix,6,3,VET,Sebastian,Vettel,German,15,Finished,+25.443,Ferrari
2015,9,British Grand Prix,3,4,MAS,Felipe,Massa,Brazilian,12,Finished,+36.839,Williams
2015,9,British Grand Prix,4,5,BOT,Valtteri,Bottas,Finnish,10,Finished,+1:03.194,Williams
2015,9,British Grand Prix,7,6,KVY,Daniil,Kvyat,Russian,8,Finished,+1:03.955,Red Bull
2015,9,British Grand Prix,9,7,HUL,Nico,Hülkenberg,German,6,Finished,+1:18.744,Force India
2015,9,British Grand Prix,5,8,RAI,Kimi,Räikkönen,Finnish,4,+1 Lap,,Ferrari
2015,9,British Grand Prix,11,9,PER,Sergio,Pérez,Mexican,2,+1 Lap,,Force India
2015,9,British Grand Prix,17,10,ALO,Fernando,Alonso,Spanish,1,+1 Lap,,McLaren
2015,9,British Grand Prix,15,11,ERI,Marcus,Ericsson,Swedish,0,+1 Lap,,Sauber
2015,9,British Grand Prix,20,12,MER,Roberto,Merhi,Spanish,0,+3 Laps,,Manor Marussia
2015,9,British Grand Prix,19,13,STE,Will,Stevens,British,0,+3 Laps,,Manor Marussia
2015,9,British Grand Prix,8,14,SAI,Carlos,Sainz,Spanish,0,Electrical,,Toro Rosso
2015,9,British Grand Prix,10,15,RIC,Daniel,Ricciardo,Australian,0,Electrical,,Red Bull
2015,9,British Grand Prix,13,16,VER,Max,Verstappen,Dutch,0,Spun off,,Toro Rosso
2015,9,British Grand Prix,12,17,GRO,Romain,Grosjean,French,0,Collision,,Lotus F1
2015,9,British Grand Prix,14,18,MAL,Pastor,Maldonado,Venezuelan,0,Collision,,Lotus F1
2015,9,British Grand Prix,18,19,BUT,Jenson,Button,British,0,Collision,,McLaren
2015,9,British Grand Prix,16,20,NAS,Felipe,Nasr,Brazilian,0,Gearbox,,Sauber
