Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2016,11,Hungarian Grand Prix,2,1,HAM,Lewis,Hamilton,British,25,Finished,1:40:30.115,Mercedes
2016,11,Hungarian Grand Prix,1,2,ROS,Nico,Rosberg,German,18,Finished,+1.977,Mercedes
2016,11,Hungarian Grand Prix,3,3,RIC,Daniel,Ricciardo,Australian,15,Finished,+27.539,Red Bull
2016,11,Hungarian Grand Prix,5,4,VET,Sebastian,Vettel,German,12,Finished,+28.213,Ferrari
2016,11,Hungarian Grand Prix,4,5,VER,Max,Verstappen,Dutch,10,Finished,+48.659,Red Bull
2016,11,Hungarian Grand Prix,14,6,RAI,Kimi,Räikkönen,Finnish,8,Finished,+49.044,Ferrari
2016,11,Hungarian Grand Prix,7,7,ALO,Fernando,Alonso,Spanish,6,+1 Lap,,McLaren
2016,11,Hungarian Grand Prix,6,8,SAI,Carlos,Sainz,Spanish,4,+1 Lap,,Toro Rosso
2016,11,Hungarian Grand Prix,10,9,BOT,Valtteri,Bottas,Finnish,2,+1 Lap,,Williams
2016,11,Hungarian Grand Prix,9,10,HUL,Nico,Hülkenberg,German,1,+1 Lap,,Force India
2016,11,Hungarian Grand Prix,13,11,PER,Sergio,Pérez,Mexican,0,+1 Lap,,Force India
2016,11,Hungarian Grand Prix,17,12,PAL,Jolyon,Palmer,British,0,+1 Lap,,Renault
2016,11,Hungarian Grand Prix,15,13,GUT,Esteban,Gutiérrez,Mexican,0,+1 Lap,,Haas F1 Team
2016,11,Hungarian Grand Prix,11,14,GRO,Romain,Grosjean,French,0,+1 Lap,,Haas F1 Team
2016,11,Hungarian Grand Prix,19,15,MAG,Kevin,Magnussen,Danish,0,+1 Lap,,Renault
2016,11,Hungarian Grand Prix,12,16,KVY,Daniil,Kvyat,Russian,0,+1 Lap,,Toro Rosso
2016,11,Hungarian Grand Prix,16,17,NAS,Felipe,Nasr,Brazilian,0,+1 Lap,,Sauber
2016,11,Hungarian Grand Prix,18,18,MAS,Felipe,Massa,Brazilian,0,+2 Laps,,Williams
2016,11,Hungarian Grand Prix,20,19,WEH,Pascal,Wehrlein,German,0,+2 Laps,,Manor Marussia
2016,11,Hungarian Grand Prix,22,20,ERI,Marcus,Ericsson,Swedish,0,+2 Laps,,Sauber
2016,11,Hungarian Grand Prix,21,21,HAR,Rio,Haryanto,Indonesian,0,+2 Laps,,Manor Marussia
2016,11,Hungarian Grand Prix,8,22,BUT,Jenson,Button,British,0,Oil leak,,McLaren
