Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2016,13,Belgian Grand Prix,1,1,ROS,Nico,Rosberg,German,25,Finished,1:44:51.058,Mercedes
2016,13,Belgian Grand Prix,5,2,RIC,Daniel,Ricciardo,Australian,18,Finished,+14.113,Red Bull
2016,13,Belgian Grand Prix,21,3,HAM,Lewis,Hamilton,British,15,Finished,+27.634,Mercedes
2016,13,Belgian Grand Prix,7,4,HUL,Nico,Hülkenberg,German,12,Finished,+35.907,Force India
2016,13,Belgian Grand Prix,6,5,PER,Sergio,Pérez,Mexican,10,Finished,+40.660,Force India
2016,13,Belgian Grand Prix,4,6,VET,Sebastian,Vettel,German,8,Finished,+45.394,Ferrari
2016,13,Belgian Grand Prix,22,7,ALO,Fernando,Alonso,Spanish,6,Finished,+59.445,McLaren
2016,13,Belgian Grand Prix,8,8,BOT,Valtteri,Bottas,Finnish,4,Finished,+1:00.151,Williams
2016,13,Belgian Grand Prix,3,9,RAI,Kimi,Räikkönen,Finnish,2,Finished,+1:01.109,Ferrari
2016,13,Belgian Grand Prix,10,10,MAS,Felipe,Massa,Brazilian,1,Finished,+1:05.873,Williams
2016,13,Belgian Grand Prix,2,11,VER,Max,Verstappen,Dutch,0,Finished,+1:11.138,Red Bull
2016,13,Belgian Grand Prix,18,12,GUT,Esteban,Gutiérrez,Mexican,0,Finished,+1:13.877,Haas F1 Team
2016,13,Belgian Grand Prix,11,13,GRO,Romain,Grosjean,French,0,Finished,+1:16.474,Haas F1 Team
2016,13,Belgian Grand Prix,19,14,KVY,Daniil,Kvyat,Russian,0,Finished,+1:27.097,Toro Rosso
2016,13,Belgian Grand Prix,13,15,PAL,Jolyon,Palmer,British,0,Finished,+1:33.165,Renault
2016,13,Belgian Grand Prix,17,16,OCO,Esteban,Ocon,French,0,+1 Lap,,Manor Marussia
2016,13,Belgian Grand Prix,16,17,NAS,Felipe,Nasr,Brazilian,0,+1 Lap,,Sauber
2016,13,Belgian Grand Prix,12,18,MAG,Kevin,Magnussen,Danish,0,Accident,,Renault
2016,13,Belgian Grand Prix,20,19,ERI,Marcus,Ericsson,Swedish,0,Gearbox,,Sauber
2016,13,Belgian Grand Prix,14,20,SAI,Carlos,Sainz,Spanish,0,Puncture,,Toro Rosso
2016,13,Belgian Grand Prix,9,21,BUT,Jenson,Button,British,0,Collision damage,,McLaren
2016,13,Belgian Grand Prix,15,22,WEH,Pascal,Wehrlein,German,0,Collision damage,,Manor Marussia
