Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2016,15,Singapore Grand Prix,1,1,ROS,Nico,Rosberg,German,25,Finished,1:55:48.950,Mercedes
2016,15,Singapore Grand Prix,2,2,RIC,Daniel,Ricciardo,Australian,18,Finished,+0.488,Red Bull
2016,15,Singapore Grand Prix,3,3,HAM,Lewis,Hamilton,British,15,Finished,+8.038,Mercedes
2016,15,Singapore Grand Prix,5,4,RAI,Kimi,Räikkönen,Finnish,12,Finished,+10.219,Ferrari
2016,15,Singapore Grand Prix,22,5,VET,Sebastian,Vettel,German,10,Finished,+27.694,Ferrari
2016,15,Singapore Grand Prix,4,6,VER,Max,Verstappen,Dutch,8,Finished,+1:11.197,Red Bull
2016,15,Singapore Grand Prix,9,7,ALO,Fernando,Alonso,Spanish,6,Finished,+1:29.198,McLaren
2016,15,Singapore Grand Prix,17,8,PER,Sergio,Pérez,Mexican,4,Finished,+1:51.062,Force India
2016,15,Singapore Grand Prix,7,9,KVY,Daniil,Kvyat,Russian,2,Finished,+1:51.557,Toro Rosso
2016,15,Singapore Grand Prix,15,10,MAG,Kevin,Magnussen,Danish,1,Finished,+1:59.952,Renault
2016,15,Singapore Grand Prix,13,11,GUT,Esteban,Gutiérrez,Mexican,0,+1 Lap,,Haas F1 Team
2016,15,Singapore Grand Prix,11,12,MAS,Felipe,Massa,Brazilian,0,+1 Lap,,Williams
2016,15,Singapore Grand Prix,16,13,NAS,Felipe,Nasr,Brazilian,0,+1 Lap,,Sauber
2016,15,Singapore Grand Prix,6,14,SAI,Carlos,Sainz,Spanish,0,+1 Lap,,Toro Rosso
2016,15,Singapore Grand Prix,18,15,PAL,Jolyon,Palmer,British,0,+1 Lap,,Renault
2016,15,Singapore Grand Prix,19,16,WEH,Pascal,Wehrlein,German,0,+1 Lap,,Manor Marussia
2016,15,Singapore Grand Prix,14,17,ERI,Marcus,Ericsson,Swedish,0,+1 Lap,,Sauber
2016,15,Singapore Grand Prix,21,18,OCO,Esteban,Ocon,French,0,+2 Laps,,Manor Marussia
2016,15,Singapore Grand Prix,12,19,BUT,Jenson,Button,British,0,Brakes,,McLaren
2016,15,Singapore Grand Prix,10,20,BOT,Valtteri,Bottas,Finnish,0,Overheating,,Williams
2016,15,Singapore Grand Prix,8,21,HUL,Nico,Hülkenberg,German,0,Collision,,Force India
2016,15,Singapore Grand Prix,20,22,GRO,Romain,Grosjean,French,0,Withdrew,,Haas F1 Team
