Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2016,16,Malaysian Grand Prix,4,1,RIC,Daniel,Ricciardo,Australian,25,Finished,1:37:12.776,Red Bull
2016,16,Malaysian Grand Prix,3,2,VER,Max,Verstappen,Dutch,18,Finished,+2.443,Red Bull
2016,16,Malaysian Grand Prix,2,3,ROS,Nico,Rosberg,German,15,Finished,+25.516,Mercedes
2016,16,Malaysian Grand Prix,6,4,RAI,Kimi,Räikkönen,Finnish,12,Finished,+28.785,Ferrari
2016,16,Malaysian Grand Prix,11,5,BOT,Valtteri,Bottas,Finnish,10,Finished,+1:01.582,Williams
2016,16,Malaysian Grand Prix,7,6,PER,Sergio,Pérez,Mexican,8,Finished,+1:03.794,Force India
2016,16,Malaysian Grand Prix,22,7,ALO,Fernando,Alonso,Spanish,6,Finished,+1:05.205,McLaren
2016,16,Malaysian Grand Prix,8,8,HUL,Nico,Hülkenberg,German,4,Finished,+1:14.062,Force India
2016,16,Malaysian Grand Prix,9,9,BUT,Jenson,Button,British,2,Finished,+1:21.816,McLaren
2016,16,Malaysian Grand Prix,19,10,PAL,Jolyon,Palmer,British,1,Finished,+1:35.466,Renault
2016,16,Malaysian Grand Prix,16,11,SAI,Carlos,Sainz,Spanish,0,Finished,+1:38.878,Toro Rosso
2016,16,Malaysian Grand Prix,17,12,ERI,Marcus,Ericsson,Swedish,0,+1 Lap,,Sauber
2016,16,Malaysian Grand Prix,10,13,MAS,Felipe,Massa,Brazilian,0,+1 Lap,,Williams
2016,16,Malaysian Grand Prix,15,14,KVY,Daniil,Kvyat,Russian,0,+1 Lap,,Toro Rosso
2016,16,Malaysian Grand Prix,21,15,WEH,Pascal,Wehrlein,German,0,+1 Lap,,Manor Marussia
2016,16,Malaysian Grand Prix,20,16,OCO,Esteban,Ocon,French,0,+1 Lap,,Manor Marussia
2016,16,Malaysian Grand Prix,18,17,NAS,Felipe,Nasr,Brazilian,0,Brakes,,Sauber
2016,16,Malaysian Grand Prix,1,18,HAM,Lewis,Hamilton,British,0,Engine,,Mercedes
2016,16,Malaysian Grand Prix,13,19,GUT,Esteban,Gutiérrez,Mexican,0,Wheel nut,,Haas F1 Team
2016,16,Malaysian Grand Prix,14,20,MAG,Kevin,Magnussen,Danish,0,Power loss,,Renault
2016,16,Malaysian Grand Prix,12,21,GRO,Romain,Grosjean,French,0,Brakes,,Haas F1 Team
2016,16,Malaysian Grand Prix,5,22,VET,Sebastian,Vettel,German,0,Collision,,Ferrari
