Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2016,19,Mexican Grand Prix,1,1,HAM,Lewis,Hamilton,British,25,Finished,1:40:31.402,Mercedes
2016,19,Mexican Grand Prix,2,2,ROS,Nico,Rosberg,German,18,Finished,+8.354,Mercedes
2016,19,Mexican Grand Prix,4,3,RIC,Daniel,Ricciardo,Australian,15,Finished,+20.858,Red Bull
2016,19,Mexican Grand Prix,3,4,VER,Max,Verstappen,Dutch,12,Finished,+21.323,Red Bull
2016,19,Mexican Grand Prix,7,5,VET,Sebastian,Vettel,German,10,Finished,+27.313,Ferrari
2016,19,Mexican Grand Prix,6,6,RAI,Kimi,Räikkönen,Finnish,8,Finished,+49.376,Ferrari
2016,19,Mexican Grand Prix,5,7,HUL,Nico,Hülkenberg,German,6,Finished,+58.891,Force India
2016,19,Mexican Grand Prix,8,8,BOT,Valtteri,Bottas,Finnish,4,Finished,+1:05.612,Williams
2016,19,Mexican Grand Prix,9,9,MAS,Felipe,Massa,Brazilian,2,Finished,+1:16.206,Williams
2016,19,Mexican Grand Prix,12,10,PER,Sergio,Pérez,Mexican,1,Finished,+1:16.798,Force India
2016,19,Mexican Grand Prix,15,11,ERI,Marcus,Ericsson,Swedish,0,+1 Lap,,Sauber
2016,19,Mexican Grand Prix,13,12,BUT,Jenson,Button,British,0,+1 Lap,,McLaren
2016,19,Mexican Grand Prix,11,13,ALO,Fernando,Alonso,Spanish,0,+1 Lap,,McLaren
2016,19,Mexican Grand Prix,21,14,PAL,Jolyon,Palmer,British,0,+1 Lap,,Renault
2016,19,Mexican Grand Prix,19,15,NAS,Felipe,Nasr,Brazilian,0,+1 Lap,,Sauber
2016,19,Mexican Grand Prix,10,16,SAI,Carlos,Sainz,Spanish,0,+1 Lap,,Toro Rosso
2016,19,Mexican Grand Prix,14,17,MAG,Kevin,Magnussen,Danish,0,+1 Lap,,Renault
2016,19,Mexican Grand Prix,18,18,KVY,Daniil,Kvyat,Russian,0,+1 Lap,,Toro Rosso
2016,19,Mexican Grand Prix,17,19,GUT,Esteban,Gutiérrez,Mexican,0,+1 Lap,,Haas F1 Team
2016,19,Mexican Grand Prix,22,20,GRO,Romain,Grosjean,French,0,+1 Lap,,Haas F1 Team
2016,19,Mexican Grand Prix,20,21,OCO,Esteban,Ocon,French,0,+2 Laps,,Manor Marussia
2016,19,Mexican Grand Prix,16,22,WEH,Pascal,Wehrlein,German,0,Collision,,Manor Marussia
