Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2016,21,Abu Dhabi Grand Prix,1,1,HAM,Lewis,Hamilton,British,25,Finished,1:38:04.013,Mercedes
2016,21,Abu Dhabi Grand Prix,2,2,ROS,Nico,Rosberg,German,18,Finished,+0.439,Mercedes
2016,21,Abu Dhabi Grand Prix,5,3,VET,Sebastian,Vettel,German,15,Finished,+0.843,Ferrari
2016,21,Abu Dhabi Grand Prix,6,4,VER,Max,Verstappen,Dutch,12,Finished,+1.685,Red Bull
2016,21,Abu Dhabi Grand Prix,3,5,RIC,Daniel,Ricciardo,Australian,10,Finished,+5.315,Red Bull
2016,21,Abu Dhabi Grand Prix,4,6,RAI,Kimi,Räikkönen,Finnish,8,Finished,+18.816,Ferrari
2016,21,Abu Dhabi Grand Prix,7,7,HUL,Nico,Hülkenberg,German,6,Finished,+50.114,Force India
2016,21,Abu Dhabi Grand Prix,8,8,PER,Sergio,Pérez,Mexican,4,Finished,+58.776,Force India
2016,21,Abu Dhabi Grand Prix,10,9,MAS,Felipe,Massa,Brazilian,2,Finished,+59.436,Williams
2016,21,Abu Dhabi Grand Prix,9,10,ALO,Fernando,Alonso,Spanish,1,Finished,+59.896,McLaren
2016,21,Abu Dhabi Grand Prix,14,11,GRO,Romain,Grosjean,French,0,Finished,+1:16.777,Haas F1 Team
2016,21,Abu Dhabi Grand Prix,13,12,GUT,Esteban,Gutiérrez,Mexican,0,Finished,+1:35.113,Haas F1 Team
2016,21,Abu Dhabi Grand Prix,20,13,OCO,Esteban,Ocon,French,0,+1 Lap,,Manor Marussia
2016,21,Abu Dhabi Grand Prix,16,14,WEH,Pascal,Wehrlein,German,0,+1 Lap,,Manor Marussia
2016,21,Abu Dhabi Grand Prix,22,15,ERI,Marcus,Ericsson,Swedish,0,+1 Lap,,Sauber
2016,21,Abu Dhabi Grand Prix,19,16,NAS,Felipe,Nasr,Brazilian,0,+1 Lap,,Sauber
2016,21,Abu Dhabi Grand Prix,15,17,PAL,Jolyon,Palmer,British,0,+1 Lap,,Renault
2016,21,Abu Dhabi Grand Prix,21,18,SAI,Carlos,Sainz,Spanish,0,Collision damage,,Toro Rosso
2016,21,Abu Dhabi Grand Prix,17,19,KVY,Daniil,Kvyat,Russian,0,Gearbox,,Toro Rosso
2016,21,Abu Dhabi Grand Prix,12,20,BUT,Jenson,Button,British,0,Suspension,,McLaren
2016,21,Abu Dhabi Grand Prix,11,21,BOT,Valtteri,Bottas,Finnish,0,Suspension,,Williams
2016,21,Abu Dhabi Grand Prix,18,22,MAG,Kevin,Magnussen,Danish,0,Suspension,,Renault
