Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2016,4,Russian Grand Prix,1,1,ROS,Nico,Rosberg,German,25,Finished,1:32:41.997,Mercedes
2016,4,Russian Grand Prix,10,2,HAM,Lewis,Hamilton,British,18,Finished,+25.022,Mercedes
2016,4,Russian Grand Prix,3,3,RAI,Kimi,Räikkönen,Finnish,15,Finished,+31.998,Ferrari
2016,4,Russian Grand Prix,2,4,BOT,Valtteri,Bottas,Finnish,12,Finished,+50.217,Williams
2016,4,Russian Grand Prix,4,5,MAS,Felipe,Massa,Brazilian,10,Finished,+1:14.427,Williams
2016,4,Russian Grand Prix,14,6,ALO,Fernando,Alonso,Spanish,8,+1 Lap,,McLaren
2016,4,Russian Grand Prix,17,7,MAG,Kevin,Magnussen,Danish,6,+1 Lap,,Renault
2016,4,Russian Grand Prix,15,8,GRO,Romain,Grosjean,French,4,+1 Lap,,Haas F1 Team
2016,4,Russian Grand Prix,6,9,PER,Sergio,Pérez,Mexican,2,+1 Lap,,Force India
2016,4,Russian Grand Prix,12,10,BUT,Jenson,Button,British,1,+1 Lap,,McLaren
2016,4,Russian Grand Prix,5,11,RIC,Daniel,Ricciardo,Australian,0,+1 Lap,,Red Bull
2016,4,Russian Grand Prix,11,12,SAI,Carlos,Sainz,Spanish,0,+1 Lap,,Toro Rosso
2016,4,Russian Grand Prix,18,13,PAL,Jolyon,Palmer,British,0,+1 Lap,,Renault
2016,4,Russian Grand Prix,22,14,ERI,Marcus,Ericsson,Swedish,0,+1 Lap,,Sauber
2016,4,Russian Grand Prix,8,15,KVY,Daniil,Kvyat,Russian,0,+1 Lap,,Red Bull
2016,4,Russian Grand Prix,19,16,NAS,Felipe,Nasr,Brazilian,0,+1 Lap,,Sauber
2016,4,Russian Grand Prix,16,17,GUT,Esteban,Gutiérrez,Mexican,0,+1 Lap,,Haas F1 Team
2016,4,Russian Grand Prix,20,18,WEH,Pascal,Wehrlein,German,0,+2 Laps,,Manor Marussia
2016,4,Russian Grand Prix,9,19,VER,Max,Verstappen,Dutch,0,Power Unit,,Toro Rosso
2016,4,Russian Grand Prix,7,20,VET,Sebastian,Vettel,German,0,Collision,,Ferrari
2016,4,Russian Grand Prix,13,21,HUL,Nico,Hülkenberg,German,0,Collision,,Force India
2016,4,Russian Grand Prix,21,22,HAR,Rio,Haryanto,Indonesian,0,Collision,,Manor Marussia
