Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2016,7,Canadian Grand Prix,1,1,HAM,Lewis,Hamilton,British,25,Finished,1:31:05.296,Mercedes
2016,7,Canadian Grand Prix,3,2,VET,Sebastian,Vettel,German,18,Finished,+5.011,Ferrari
2016,7,Canadian Grand Prix,7,3,BOT,Valtteri,Bottas,Finnish,15,Finished,+46.422,Williams
2016,7,Canadian Grand Prix,5,4,VER,Max,Verstappen,Dutch,12,Finished,+53.020,Red Bull
2016,7,Canadian Grand Prix,2,5,ROS,Nico,Rosberg,German,10,Finished,+1:02.093,Mercedes
2016,7,Canadian Grand Prix,6,6,RAI,Kimi,Räikkönen,Finnish,8,Finished,+1:03.017,Ferrari
2016,7,Canadian Grand Prix,4,7,RIC,Daniel,Ricciardo,Australian,6,Finished,+1:03.634,Red Bull
2016,7,Canadian Grand Prix,9,8,HUL,Nico,Hülkenberg,German,4,+1 Lap,,Force India
2016,7,Canadian Grand Prix,20,9,SAI,Carlos,Sainz,Spanish,2,+1 Lap,,Toro Rosso
2016,7,Canadian Grand Prix,11,10,PER,Sergio,Pérez,Mexican,1,+1 Lap,,Force India
2016,7,Canadian Grand Prix,10,11,ALO,Fernando,Alonso,Spanish,0,+1 Lap,,McLaren
2016,7,Canadian Grand Prix,15,12,KVY,Daniil,Kvyat,Russian,0,+1 Lap,,Toro Rosso
2016,7,Canadian Grand Prix,13,13,GUT,Esteban,Gutiérrez,Mexican,0,+2 Laps,,Haas F1 Team
2016,7,Canadian Grand Prix,14,14,GRO,Romain,Grosjean,French,0,+2 Laps,,Haas F1 Team
2016,7,Canadian Grand Prix,21,15,ERI,Marcus,Ericsson,Swedish,0,+2 Laps,,Sauber
2016,7,Canadian Grand Prix,22,16,MAG,Kevin,Magnussen,Danish,0,+2 Laps,,Renault
2016,7,Canadian Grand Prix,17,17,WEH,Pascal,Wehrlein,German,0,+2 Laps,,Manor Marussia
2016,7,Canadian Grand Prix,18,18,NAS,Felipe,Nasr,Brazilian,0,+2 Laps,,Sauber
2016,7,Canadian Grand Prix,19,19,HAR,Rio,Haryanto,Indonesian,0,+2 Laps,,Manor Marussia
2016,7,Canadian Grand Prix,8,20,MAS,Felipe,Massa,Brazilian,0,Retired,,Williams
2016,7,Canadian Grand Prix,16,21,PAL,Jolyon,Palmer,British,0,Retired,,Renault
2016,7,Canadian Grand Prix,12,22,BUT,Jenson,Button,British,0,Power Unit,,McLaren
