Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2016,8,European Grand Prix,1,1,ROS,Nico,Rosberg,German,25,Finished,1:32:52.366,Mercedes
2016,8,European Grand Prix,3,2,VET,Sebastian,Vettel,German,18,Finished,+16.696,Ferrari
2016,8,European Grand Prix,7,3,PER,Sergio,Pérez,Mexican,15,Finished,+25.241,Force India
2016,8,European Grand Prix,4,4,RAI,Kimi,Räikkönen,Finnish,12,Finished,+33.102,Ferrari
2016,8,European Grand Prix,10,5,HAM,Lewis,Hamilton,British,10,Finished,+56.335,Mercedes
2016,8,European Grand Prix,8,6,BOT,Valtteri,Bottas,Finnish,8,Finished,+1:00.886,Williams
2016,8,European Grand Prix,2,7,RIC,Daniel,Ricciardo,Australian,6,Finished,+1:09.229,Red Bull
2016,8,European Grand Prix,9,8,VER,Max,Verstappen,Dutch,4,Finished,+1:10.696,Red Bull
2016,8,European Grand Prix,12,9,HUL,Nico,Hülkenberg,German,2,Finished,+1:17.708,Force India
2016,8,European Grand Prix,5,10,MAS,Felipe,Massa,Brazilian,1,Finished,+1:25.375,Williams
2016,8,European Grand Prix,19,11,BUT,Jenson,Button,British,0,Finished,+1:44.817,McLaren
2016,8,European Grand Prix,15,12,NAS,Felipe,Nasr,Brazilian,0,+1 Lap,,Sauber
2016,8,European Grand Prix,11,13,GRO,Romain,Grosjean,French,0,+1 Lap,,Haas F1 Team
2016,8,European Grand Prix,22,14,MAG,Kevin,Magnussen,Danish,0,+1 Lap,,Renault
2016,8,European Grand Prix,21,15,PAL,Jolyon,Palmer,British,0,+1 Lap,,Renault
2016,8,European Grand Prix,14,16,GUT,Esteban,Gutiérrez,Mexican,0,+1 Lap,,Haas F1 Team
2016,8,European Grand Prix,20,17,ERI,Marcus,Ericsson,Swedish,0,+1 Lap,,Sauber
2016,8,European Grand Prix,16,18,HAR,Rio,Haryanto,Indonesian,0,+2 Laps,,Manor Marussia
2016,8,European Grand Prix,13,19,ALO,Fernando,Alonso,Spanish,0,Gearbox,,McLaren
2016,8,European Grand Prix,17,20,WEH,Pascal,Wehrlein,German,0,Brakes,,Manor Marussia
2016,8,European Grand Prix,18,21,SAI,Carlos,Sainz,Spanish,0,Suspension,,Toro Rosso
2016,8,European Grand Prix,6,22,KVY,Daniil,Kvyat,Russian,0,Suspension,,Toro Rosso
