Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2017,11,Hungarian Grand Prix,1,1,VET,Sebastian,Vettel,German,25,Finished,1:39:46.713,Ferrari
2017,11,Hungarian Grand Prix,2,2,RAI,Kimi,Räikkönen,Finnish,18,Finished,+0.908,Ferrari
2017,11,Hungarian Grand Prix,3,3,BOT,Valtteri,Bottas,Finnish,15,Finished,+12.462,Mercedes
2017,11,Hungarian Grand Prix,4,4,HAM,Lewis,Hamilton,British,12,Finished,+12.885,Mercedes
2017,11,Hungarian Grand Prix,5,5,VER,Max,Verstappen,Dutch,10,Finished,+13.276,Red Bull
2017,11,Hungarian Grand Prix,7,6,ALO,Fernando,Alonso,Spanish,8,Finished,+1:11.223,McLaren
2017,11,Hungarian Grand Prix,9,7,SAI,Carlos,Sainz,Spanish,6,+1 Lap,,Toro Rosso
2017,11,Hungarian Grand Prix,13,8,PER,Sergio,Pérez,Mexican,4,+1 Lap,,Force India
2017,11,Hungarian Grand Prix,11,9,OCO,Esteban,Ocon,French,2,+1 Lap,,Force India
2017,11,Hungarian Grand Prix,8,10,VAN,Stoffel,Vandoorne,Belgian,1,+1 Lap,,McLaren
2017,11,Hungarian Grand Prix,16,11,KVY,Daniil,Kvyat,Russian,0,+1 Lap,,Toro Rosso
2017,11,Hungarian Grand Prix,10,12,PAL,Jolyon,Palmer,British,0,+1 Lap,,Renault
2017,11,Hungarian Grand Prix,15,13,MAG,Kevin,Magnussen,Danish,0,+1 Lap,,Haas F1 Team
2017,11,Hungarian Grand Prix,17,14,STR,Lance,Stroll,Canadian,0,+1 Lap,,Williams
2017,11,Hungarian Grand Prix,18,15,WEH,Pascal,Wehrlein,German,0,+2 Laps,,Sauber
2017,11,Hungarian Grand Prix,20,16,ERI,Marcus,Ericsson,Swedish,0,+2 Laps,,Sauber
2017,11,Hungarian Grand Prix,12,17,HUL,Nico,Hülkenberg,German,0,Brakes,,Renault
2017,11,Hungarian Grand Prix,19,18,DIR,Paul,di Resta,British,0,Oil leak,,Williams
2017,11,Hungarian Grand Prix,14,19,GRO,Romain,Grosjean,French,0,Wheel nut,,Haas F1 Team
2017,11,Hungarian Grand Prix,6,20,RIC,Daniel,Ricciardo,Australian,0,Collision,,Red Bull
