Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2017,13,Italian Grand Prix,1,1,HAM,Lewis,Hamilton,British,25,Finished,1:15:32.312,Mercedes
2017,13,Italian Grand Prix,4,2,BOT,Valtteri,Bottas,Finnish,18,Finished,+4.471,Mercedes
2017,13,Italian Grand Prix,6,3,VET,Sebastian,Vettel,German,15,Finished,+36.317,Ferrari
2017,13,Italian Grand Prix,16,4,RIC,Daniel,Ricciardo,Australian,12,Finished,+40.335,Red Bull
2017,13,Italian Grand Prix,5,5,RAI,Kimi,Räikkönen,Finnish,10,Finished,+1:00.082,Ferrari
2017,13,Italian Grand Prix,3,6,OCO,Esteban,Ocon,French,8,Finished,+1:11.528,Force India
2017,13,Italian Grand Prix,2,7,STR,Lance,Stroll,Canadian,6,Finished,+1:14.156,Williams
2017,13,Italian Grand Prix,7,8,MAS,Felipe,Massa,Brazilian,4,Finished,+1:14.834,Williams
2017,13,Italian Grand Prix,10,9,PER,Sergio,Pérez,Mexican,2,Finished,+1:15.276,Force India
2017,13,Italian Grand Prix,13,10,VER,Max,Verstappen,Dutch,1,+1 Lap,,Red Bull
2017,13,Italian Grand Prix,9,11,MAG,Kevin,Magnussen,Danish,0,+1 Lap,,Haas F1 Team
2017,13,Italian Grand Prix,8,12,KVY,Daniil,Kvyat,Russian,0,+1 Lap,,Toro Rosso
2017,13,Italian Grand Prix,14,13,HUL,Nico,Hülkenberg,German,0,+1 Lap,,Renault
2017,13,Italian Grand Prix,15,14,SAI,Carlos,Sainz,Spanish,0,+1 Lap,,Toro Rosso
2017,13,Italian Grand Prix,20,15,GRO,Romain,Grosjean,French,0,+1 Lap,,Haas F1 Team
2017,13,Italian Grand Prix,12,16,WEH,Pascal,Wehrlein,German,0,+2 Laps,,Sauber
2017,13,Italian Grand Prix,19,17,ALO,Fernando,Alonso,Spanish,0,Gearbox,,McLaren
2017,13,Italian Grand Prix,11,18,ERI,Marcus,Ericsson,Swedish,0,Gearbox,,Sauber
2017,13,Italian Grand Prix,18,19,VAN,Stoffel,Vandoorne,Belgian,0,Engine,,McLaren
2017,13,Italian Grand Prix,17,20,PAL,Jolyon,Palmer,British,0,Engine,,Renault
