Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2017,16,Japanese Grand Prix,1,1,HAM,Lewis,Hamilton,British,25,Finished,1:27:31.194,Mercedes
2017,16,Japanese Grand Prix,4,2,VER,Max,Verstappen,Dutch,18,Finished,+1.211,Red Bull
2017,16,Japanese Grand Prix,3,3,RIC,Daniel,Ricciardo,Australian,15,Finished,+9.679,Red Bull
2017,16,Japanese Grand Prix,6,4,BOT,Valtteri,Bottas,Finnish,12,Finished,+10.580,Mercedes
2017,16,Japanese Grand Prix,10,5,RAI,Kimi,Räikkönen,Finnish,10,Finished,+32.622,Ferrari
2017,16,Japanese Grand Prix,5,6,OCO,Esteban,Ocon,French,8,Finished,+1:07.788,Force India
2017,16,Japanese Grand Prix,7,7,PER,Sergio,Pérez,Mexican,6,Finished,+1:11.424,Force India
2017,16,Japanese Grand Prix,12,8,MAG,Kevin,Magnussen,Danish,4,Finished,+1:28.953,Haas F1 Team
2017,16,Japanese Grand Prix,13,9,GRO,Romain,Grosjean,French,2,Finished,+1:29.883,Haas F1 Team
2017,16,Japanese Grand Prix,8,10,MAS,Felipe,Massa,Brazilian,1,+1 Lap,,Williams
2017,16,Japanese Grand Prix,20,11,ALO,Fernando,Alonso,Spanish,0,+1 Lap,,McLaren
2017,16,Japanese Grand Prix,18,12,PAL,Jolyon,Palmer,British,0,+1 Lap,,Renault
2017,16,Japanese Grand Prix,14,13,GAS,Pierre,Gasly,French,0,+1 Lap,,Toro Rosso
2017,16,Japanese Grand Prix,9,14,VAN,Stoffel,Vandoorne,Belgian,0,+1 Lap,,McLaren
2017,16,Japanese Grand Prix,17,15,WEH,Pascal,Wehrlein,German,0,+2 Laps,,Sauber
2017,16,Japanese Grand Prix,15,16,STR,Lance,Stroll,Canadian,0,Wheel,,Williams
2017,16,Japanese Grand Prix,11,17,HUL,Nico,Hülkenberg,German,0,Front wing,,Renault
2017,16,Japanese Grand Prix,16,18,ERI,Marcus,Ericsson,Swedish,0,Accident,,Sauber
2017,16,Japanese Grand Prix,2,19,VET,Sebastian,Vettel,German,0,Spark plugs,,Ferrari
2017,16,Japanese Grand Prix,19,20,SAI,Carlos,Sainz,Spanish,0,Accident,,Toro Rosso
