Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2017,17,United States Grand Prix,1,1,HAM,Lewis,Hamilton,British,25,Finished,1:33:50.991,Mercedes
2017,17,United States Grand Prix,2,2,VET,Sebastian,Vettel,German,18,Finished,+10.143,Ferrari
2017,17,United States Grand Prix,5,3,RAI,Kimi,Räikkönen,Finnish,15,Finished,+15.779,Ferrari
2017,17,United States Grand Prix,16,4,VER,Max,Verstappen,Dutch,12,Finished,+16.768,Red Bull
2017,17,United States Grand Prix,3,5,BOT,Valtteri,Bottas,Finnish,10,Finished,+34.967,Mercedes
2017,17,United States Grand Prix,6,6,OCO,Esteban,Ocon,French,8,Finished,+1:30.980,Force India
2017,17,United States Grand Prix,7,7,SAI,Carlos,Sainz,Spanish,6,Finished,+1:32.944,Renault
2017,17,United States Grand Prix,9,8,PER,Sergio,Pérez,Mexican,4,+1 Lap,,Force India
2017,17,United States Grand Prix,10,9,MAS,Felipe,Massa,Brazilian,2,+1 Lap,,Williams
2017,17,United States Grand Prix,11,10,KVY,Daniil,Kvyat,Russian,1,+1 Lap,,Toro Rosso
2017,17,United States Grand Prix,15,11,STR,Lance,Stroll,Canadian,0,+1 Lap,,Williams
2017,17,United States Grand Prix,20,12,VAN,Stoffel,Vandoorne,Belgian,0,+1 Lap,,McLaren
2017,17,United States Grand Prix,19,13,HAR,Brendon,Hartley,New Zealander,0,+1 Lap,,Toro Rosso
2017,17,United States Grand Prix,12,14,GRO,Romain,Grosjean,French,0,+1 Lap,,Haas F1 Team
2017,17,United States Grand Prix,13,15,ERI,Marcus,Ericsson,Swedish,0,+1 Lap,,Sauber
2017,17,United States Grand Prix,17,16,MAG,Kevin,Magnussen,Danish,0,+1 Lap,,Haas F1 Team
2017,17,United States Grand Prix,8,17,ALO,Fernando,Alonso,Spanish,0,Engine,,McLaren
2017,17,United States Grand Prix,4,18,RIC,Daniel,Ricciardo,Australian,0,Engine,,Red Bull
2017,17,United States Grand Prix,14,19,WEH,Pascal,Wehrlein,German,0,Collision,,Sauber
2017,17,United States Grand Prix,18,20,HUL,Nico,Hülkenberg,German,0,Engine,,Renault
