Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2017,3,Bahrain Grand Prix,3,1,VET,Sebastian,Vettel,German,25,Finished,1:33:53.374,Ferrari
2017,3,Bahrain Grand Prix,2,2,HAM,Lewis,Hamilton,British,18,Finished,+6.660,Mercedes
2017,3,Bahrain Grand Prix,1,3,BOT,Valtteri,Bottas,Finnish,15,Finished,+20.397,Mercedes
2017,3,Bahrain Grand Prix,5,4,RAI,Kimi,Räikkönen,Finnish,12,Finished,+22.475,Ferrari
2017,3,Bahrain Grand Prix,4,5,RIC,Daniel,Ricciardo,Australian,10,Finished,+39.346,Red Bull
2017,3,Bahrain Grand Prix,8,6,MAS,Felipe,Massa,Brazilian,8,Finished,+54.326,Williams
2017,3,Bahrain Grand Prix,18,7,PER,Sergio,Pérez,Mexican,6,Finished,+1:02.606,Force India
2017,3,Bahrain Grand Prix,9,8,GRO,Romain,Grosjean,French,4,Finished,+1:14.865,Haas F1 Team
2017,3,Bahrain Grand Prix,7,9,HUL,Nico,Hülkenberg,German,2,Finished,+1:20.188,Renault
2017,3,Bahrain Grand Prix,14,10,OCO,Esteban,Ocon,French,1,Finished,+1:35.711,Force India
2017,3,Bahrain Grand Prix,13,11,WEH,Pascal,Wehrlein,German,0,+1 Lap,,Sauber
2017,3,Bahrain Grand Prix,11,12,KVY,Daniil,Kvyat,Russian,0,+1 Lap,,Toro Rosso
2017,3,Bahrain Grand Prix,10,13,PAL,Jolyon,Palmer,British,0,+1 Lap,,Renault
2017,3,Bahrain Grand Prix,15,14,ALO,Fernando,Alonso,Spanish,0,Power Unit,,McLaren
2017,3,Bahrain Grand Prix,19,15,ERI,Marcus,Ericsson,Swedish,0,Gearbox,,Sauber
2017,3,Bahrain Grand Prix,16,16,SAI,Carlos,Sainz,Spanish,0,Collision,,Toro Rosso
2017,3,Bahrain Grand Prix,12,17,STR,Lance,Stroll,Canadian,0,Collision,,Williams
2017,3,Bahrain Grand Prix,6,18,VER,Max,Verstappen,Dutch,0,Brakes,,Red Bull
2017,3,Bahrain Grand Prix,20,19,MAG,Kevin,Magnussen,Danish,0,Electrical,,Haas F1 Team
2017,3,Bahrain Grand Prix,17,20,VAN,Stoffel,Vandoorne,Belgian,0,Power Unit,,McLaren
