Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2017,6,Monaco Grand Prix,2,1,VET,Sebastian,Vettel,German,25,Finished,1:44:44.340,Ferrari
2017,6,Monaco Grand Prix,1,2,RAI,Kimi,Räikkönen,Finnish,18,Finished,+3.145,Ferrari
2017,6,Monaco Grand Prix,5,3,RIC,Daniel,Ricciardo,Australian,15,Finished,+3.745,Red Bull
2017,6,Monaco Grand Prix,3,4,BOT,Valtteri,Bottas,Finnish,12,Finished,+5.517,Mercedes
2017,6,Monaco Grand Prix,4,5,VER,Max,Verstappen,Dutch,10,Finished,+6.199,Red Bull
2017,6,Monaco Grand Prix,6,6,SAI,Carlos,Sainz,Spanish,8,Finished,+12.038,Toro Rosso
2017,6,Monaco Grand Prix,13,7,HAM,Lewis,Hamilton,British,6,Finished,+15.801,Mercedes
2017,6,Monaco Grand Prix,8,8,GRO,Romain,Grosjean,French,4,Finished,+18.150,Haas F1 Team
2017,6,Monaco Grand Prix,14,9,MAS,Felipe,Massa,Brazilian,2,Finished,+19.445,Williams
2017,6,Monaco Grand Prix,11,10,MAG,Kevin,Magnussen,Danish,1,Finished,+21.443,Haas F1 Team
2017,6,Monaco Grand Prix,16,11,PAL,Jolyon,Palmer,British,0,Finished,+22.737,Renault
2017,6,Monaco Grand Prix,15,12,OCO,Esteban,Ocon,French,0,Finished,+23.725,Force India
2017,6,Monaco Grand Prix,7,13,PER,Sergio,Pérez,Mexican,0,Finished,+39.089,Force India
2017,6,Monaco Grand Prix,9,14,KVY,Daniil,Kvyat,Russian,0,Collision damage,,Toro Rosso
2017,6,Monaco Grand Prix,17,15,STR,Lance,Stroll,Canadian,0,Brakes,,Williams
2017,6,Monaco Grand Prix,12,16,VAN,Stoffel,Vandoorne,Belgian,0,Accident,,McLaren
2017,6,Monaco Grand Prix,19,17,ERI,Marcus,Ericsson,Swedish,0,Accident,,Sauber
2017,6,Monaco Grand Prix,20,18,BUT,Jenson,Button,British,0,Collision damage,,McLaren
2017,6,Monaco Grand Prix,18,19,WEH,Pascal,Wehrlein,German,0,Collision,,Sauber
2017,6,Monaco Grand Prix,10,20,HUL,Nico,Hülkenberg,German,0,Gearbox,,Renault
