Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2017,7,Canadian Grand Prix,1,1,HAM,Lewis,Hamilton,British,25,Finished,1:33:05.154,Mercedes
2017,7,Canadian Grand Prix,3,2,BOT,Valtteri,Bottas,Finnish,18,Finished,+19.783,Mercedes
2017,7,Canadian Grand Prix,6,3,RIC,Daniel,Ricciardo,Australian,15,Finished,+35.297,Red Bull
2017,7,Canadian Grand Prix,2,4,VET,Sebastian,Vettel,German,12,Finished,+35.907,Ferrari
2017,7,Canadian Grand Prix,8,5,PER,Sergio,Pérez,Mexican,10,Finished,+40.476,Force India
2017,7,Canadian Grand Prix,9,6,OCO,Esteban,Ocon,French,8,Finished,+40.716,Force India
2017,7,Canadian Grand Prix,4,7,RAI,Kimi,Räikkönen,Finnish,6,Finished,+58.632,Ferrari
2017,7,Canadian Grand Prix,10,8,HUL,Nico,Hülkenberg,German,4,Finished,+1:00.374,Renault
2017,7,Canadian Grand Prix,17,9,STR,Lance,Stroll,Canadian,2,+1 Lap,,Williams
2017,7,Canadian Grand Prix,14,10,GRO,Romain,Grosjean,French,1,+1 Lap,,Haas F1 Team
2017,7,Canadian Grand Prix,15,11,PAL,Jolyon,Palmer,British,0,+1 Lap,,Renault
2017,7,Canadian Grand Prix,18,12,MAG,Kevin,Magnussen,Danish,0,+1 Lap,,Haas F1 Team
2017,7,Canadian Grand Prix,19,13,ERI,Marcus,Ericsson,Swedish,0,+1 Lap,,Sauber
2017,7,Canadian Grand Prix,16,14,VAN,Stoffel,Vandoorne,Belgian,0,+1 Lap,,McLaren
2017,7,Canadian Grand Prix,20,15,WEH,Pascal,Wehrlein,German,0,+2 Laps,,Sauber
2017,7,Canadian Grand Prix,12,16,ALO,Fernando,Alonso,Spanish,0,Power Unit,,McLaren
2017,7,Canadian Grand Prix,11,17,KVY,Daniil,Kvyat,Russian,0,Power Unit,,Toro Rosso
2017,7,Canadian Grand Prix,5,18,VER,Max,Verstappen,Dutch,0,Electrical,,Red Bull
2017,7,Canadian Grand Prix,7,19,MAS,Felipe,Massa,Brazilian,0,Collision,,Williams
2017,7,Canadian Grand Prix,13,20,SAI,Carlos,Sainz,Spanish,0,Collision,,Toro Rosso
