Season,Round,RaceName,Position,DriverID,FirstName,FamilyName,Nationality,constructor,Q1_time,Q2_time,Q3_time
2018,17,Japanese Grand Prix,1,HAM,Lewis,Hamilton,British,Mercedes,1:28.702,1:28.017,1:27.760
2018,17,Japanese Grand Prix,2,BOT,Valtteri,Bottas,Finnish,Mercedes,1:29.297,1:27.987,1:28.059
2018,17,Japanese Grand Prix,3,VER,Max,Verstappen,Dutch,Red Bull,1:29.480,1:28.849,1:29.057
2018,17,Japanese Grand Prix,4,RAI,Kimi,Räikkönen,Finnish,Ferrari,1:29.631,1:28.595,1:29.521
2018,17,Japanese Grand Prix,5,GRO,Romain,Grosjean,French,Haas F1 Team,1:29.724,1:29.678,1:29.761
2018,17,Japanese Grand Prix,6,HAR,Brendon,Hartley,New Zealander,Toro Rosso,1:30.248,1:29.848,1:30.023
2018,17,Japanese Grand Prix,7,GAS,Pierre,Gasly,French,Toro Rosso,1:30.137,1:29.810,1:30.093
2018,17,Japanese Grand Prix,8,OCO,Esteban,Ocon,French,Force India,1:29.899,1:29.538,1:30.126
2018,17,Japanese Grand Prix,9,VET,Sebastian,Vettel,German,Ferrari,1:29.049,1:28.279,1:32.192
2018,17,Japanese Grand Prix,10,PER,Sergio,Pérez,Mexican,Force India,1:30.247,1:29.567,1:37.229
2018,17,Japanese Grand Prix,11,LEC,Charles,Leclerc,Monegasque,Sauber,1:29.706,1:29.864,
2018,17,Japanese Grand Prix,12,MAG,Kevin,Magnussen,Danish,Haas F1 Team,1:30.219,1:30.226,
2018,17,Japanese Grand Prix,13,SAI,Carlos,Sainz,Spanish,Renault,1:30.236,1:30.490,
2018,17,Japanese Grand Prix,14,STR,Lance,Stroll,Canadian,Williams,1:30.317,1:30.714,
2018,17,Japanese Grand Prix,15,RIC,Daniel,Ricciardo,Australian,Red Bull,1:29.806,,
2018,17,Japanese Grand Prix,16,HUL,Nico,Hülkenberg,German,Renault,1:30.361,,
2018,17,Japanese Grand Prix,17,SIR,Sergey,Sirotkin,Russian,Williams,1:30.372,,
2018,17,Japanese Grand Prix,18,ALO,Fernando,Alonso,Spanish,McLaren,1:30.573,,
2018,17,Japanese Grand Prix,19,VAN,Stoffel,Vandoorne,Belgian,McLaren,1:31.041,,
2018,17,Japanese Grand Prix,20,ERI,Marcus,Ericsson,Swedish,Sauber,1:31.213,,
