Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2018,17,Japanese Grand Prix,1,1,HAM,Lewis,Hamilton,British,25,Finished,1:27:17.062,Mercedes
2018,17,Japanese Grand Prix,2,2,BOT,Valtteri,Bottas,Finnish,18,Finished,+12.919,Mercedes
2018,17,Japanese Grand Prix,3,3,VER,Max,Verstappen,Dutch,15,Finished,+14.295,Red Bull
2018,17,Japanese Grand Prix,15,4,RIC,Daniel,Ricciardo,Australian,12,Finished,+19.495,Red Bull
2018,17,Japanese Grand Prix,4,5,RAI,Kimi,Räikkönen,Finnish,10,Finished,+50.998,Ferrari
2018,17,Japanese Grand Prix,8,6,VET,Sebastian,Vettel,German,8,Finished,+1:09.873,Ferrari
2018,17,Japanese Grand Prix,9,7,PER,Sergio,Pérez,Mexican,6,Finished,+1:19.379,Force India
2018,17,Japanese Grand Prix,5,8,GRO,Romain,Grosjean,French,4,Finished,+1:27.198,Haas F1 Team
2018,17,Japanese Grand Prix,11,9,OCO,Esteban,Ocon,French,2,Finished,+1:28.055,Force India
2018,17,Japanese Grand Prix,13,10,SAI,Carlos,Sainz,Spanish,1,+1 Lap,,Renault
2018,17,Japanese Grand Prix,7,11,GAS,Pierre,Gasly,French,0,+1 Lap,,Toro Rosso
2018,17,Japanese Grand Prix,20,12,ERI,Marcus,Ericsson,Swedish,0,+1 Lap,,Sauber
2018,17,Japanese Grand Prix,6,13,HAR,Brendon,Hartley,New Zealander,0,+1 Lap,,Toro Rosso
2018,17,Japanese Grand Prix,18,14,ALO,Fernando,Alonso,Spanish,0,+1 Lap,,McLaren
2018,17,Japanese Grand Prix,19,15,VAN,Stoffel,Vandoorne,Belgian,0,+1 Lap,,McLaren
2018,17,Japanese Grand Prix,17,16,SIR,Sergey,Sirotkin,Russian,0,+1 Lap,,Williams
2018,17,Japanese Grand Prix,14,17,STR,Lance,Stroll,Canadian,0,+1 Lap,,Williams
2018,17,Japanese Grand Prix,10,18,LEC,Charles,Leclerc,Monegasque,0,Mechanical,,Sauber
2018,17,Japanese Grand Prix,16,19,HUL,Nico,Hülkenberg,German,0,Engine,,Renault
2018,17,Japanese Grand Prix,12,20,MAG,Kevin,Magnussen,Danish,0,Collision damage,,Haas F1 Team
