Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2018,3,Chinese Grand Prix,6,1,RIC,Daniel,Ricciardo,Australian,25,Finished,1:35:36.380,Red Bull
2018,3,Chinese Grand Prix,3,2,BOT,Valtteri,Bottas,Finnish,18,Finished,+8.894,Mercedes
2018,3,Chinese Grand Prix,2,3,RAI,Kimi,Räikkönen,Finnish,15,Finished,+9.637,Ferrari
2018,3,Chinese Grand Prix,4,4,HAM,Lewis,Hamilton,British,12,Finished,+16.985,Mercedes
2018,3,Chinese Grand Prix,5,5,VER,Max,Verstappen,Dutch,10,Finished,+20.436,Red Bull
2018,3,Chinese Grand Prix,7,6,HUL,Nico,Hülkenberg,German,8,Finished,+21.052,Renault
2018,3,Chinese Grand Prix,13,7,ALO,Fernando,Alonso,Spanish,6,Finished,+30.639,McLaren
2018,3,Chinese Grand Prix,1,8,VET,Sebastian,Vettel,German,4,Finished,+35.286,Ferrari
2018,3,Chinese Grand Prix,9,9,SAI,Carlos,Sainz,Spanish,2,Finished,+35.763,Renault
2018,3,Chinese Grand Prix,11,10,MAG,Kevin,Magnussen,Danish,1,Finished,+39.594,Haas F1 Team
2018,3,Chinese Grand Prix,12,11,OCO,Esteban,Ocon,French,0,Finished,+44.050,Force India
2018,3,Chinese Grand Prix,8,12,PER,Sergio,Pérez,Mexican,0,Finished,+44.725,Force India
2018,3,Chinese Grand Prix,14,13,VAN,Stoffel,Vandoorne,Belgian,0,Finished,+49.373,McLaren
2018,3,Chinese Grand Prix,18,14,STR,Lance,Stroll,Canadian,0,Finished,+55.490,Williams
2018,3,Chinese Grand Prix,16,15,SIR,Sergey,Sirotkin,Russian,0,Finished,+58.241,Williams
2018,3,Chinese Grand Prix,20,16,ERI,Marcus,Ericsson,Swedish,0,Finished,+1:02.604,Sauber
2018,3,Chinese Grand Prix,10,17,GRO,Romain,Grosjean,French,0,Finished,+1:05.296,Haas F1 Team
2018,3,Chinese Grand Prix,17,18,GAS,Pierre,Gasly,French,0,Finished,+1:06.330,Toro Rosso
2018,3,Chinese Grand Prix,19,19,LEC,Charles,Leclerc,Monegasque,0,Finished,+1:22.575,Sauber
2018,3,Chinese Grand Prix,15,20,HAR,Brendon,Hartley,New Zealander,0,Collision damage,,Toro Rosso
