Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2018,4,Azerbaijan Grand Prix,2,1,HAM,Lewis,Hamilton,British,25,Finished,1:43:44.291,Mercedes
2018,4,Azerbaijan Grand Prix,6,2,RAI,Kimi,Räikkönen,Finnish,18,Finished,+2.460,Ferrari
2018,4,Azerbaijan Grand Prix,8,3,PER,Sergio,Pérez,Mexican,15,Finished,+4.024,Force India
2018,4,Azerbaijan Grand Prix,1,4,VET,Sebastian,Vettel,German,12,Finished,+5.329,Ferrari
2018,4,Azerbaijan Grand Prix,9,5,SAI,Carlos,Sainz,Spanish,10,Finished,+7.515,Renault
2018,4,Azerbaijan Grand Prix,13,6,LEC,Charles,Leclerc,Monegasque,8,Finished,+9.158,Sauber
2018,4,Azerbaijan Grand Prix,12,7,ALO,Fernando,Alonso,Spanish,6,Finished,+10.931,McLaren
2018,4,Azerbaijan Grand Prix,10,8,STR,Lance,Stroll,Canadian,4,Finished,+12.546,Williams
2018,4,Azerbaijan Grand Prix,16,9,VAN,Stoffel,Vandoorne,Belgian,2,Finished,+14.152,McLaren
2018,4,Azerbaijan Grand Prix,19,10,HAR,Brendon,Hartley,New Zealander,1,Finished,+18.030,Toro Rosso
2018,4,Azerbaijan Grand Prix,18,11,ERI,Marcus,Ericsson,Swedish,0,Finished,+18.512,Sauber
2018,4,Azerbaijan Grand Prix,17,12,GAS,Pierre,Gasly,French,0,Finished,+24.720,Toro Rosso
2018,4,Azerbaijan Grand Prix,15,13,MAG,Kevin,Magnussen,Danish,0,Finished,+40.663,Haas F1 Team
2018,4,Azerbaijan Grand Prix,3,14,BOT,Valtteri,Bottas,Finnish,0,Puncture,,Mercedes
2018,4,Azerbaijan Grand Prix,20,15,GRO,Romain,Grosjean,French,0,Accident,,Haas F1 Team
2018,4,Azerbaijan Grand Prix,5,16,VER,Max,Verstappen,Dutch,0,Collision,,Red Bull
2018,4,Azerbaijan Grand Prix,4,17,RIC,Daniel,Ricciardo,Australian,0,Collision,,Red Bull
2018,4,Azerbaijan Grand Prix,14,18,HUL,Nico,Hülkenberg,German,0,Accident,,Renault
2018,4,Azerbaijan Grand Prix,7,19,OCO,Esteban,Ocon,French,0,Collision,,Force India
2018,4,Azerbaijan Grand Prix,11,20,SIR,Sergey,Sirotkin,Russian,0,Collision,,Williams
