Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2018,6,Monaco Grand Prix,1,1,RIC,Daniel,Ricciardo,Australian,25,Finished,1:42:54.807,Red Bull
2018,6,Monaco Grand Prix,2,2,VET,Sebastian,Vettel,German,18,Finished,+7.336,Ferrari
2018,6,Monaco Grand Prix,3,3,HAM,Lewis,Hamilton,British,15,Finished,+17.013,Mercedes
2018,6,Monaco Grand Prix,4,4,RAI,Kimi,Räikkönen,Finnish,12,Finished,+18.127,Ferrari
2018,6,Monaco Grand Prix,5,5,BOT,Valtteri,Bottas,Finnish,10,Finished,+18.822,Mercedes
2018,6,Monaco Grand Prix,6,6,OCO,Esteban,Ocon,French,8,Finished,+23.667,Force India
2018,6,Monaco Grand Prix,10,7,GAS,Pierre,Gasly,French,6,Finished,+24.331,Toro Rosso
2018,6,Monaco Grand Prix,11,8,HUL,Nico,Hülkenberg,German,4,Finished,+24.839,Renault
2018,6,Monaco Grand Prix,20,9,VER,Max,Verstappen,Dutch,2,Finished,+25.317,Red Bull
2018,6,Monaco Grand Prix,8,10,SAI,Carlos,Sainz,Spanish,1,Finished,+1:09.013,Renault
2018,6,Monaco Grand Prix,16,11,ERI,Marcus,Ericsson,Swedish,0,Finished,+1:09.864,Sauber
2018,6,Monaco Grand Prix,9,12,PER,Sergio,Pérez,Mexican,0,Finished,+1:10.461,Force India
2018,6,Monaco Grand Prix,19,13,MAG,Kevin,Magnussen,Danish,0,Finished,+1:14.823,Haas F1 Team
2018,6,Monaco Grand Prix,12,14,VAN,Stoffel,Vandoorne,Belgian,0,+1 Lap,,McLaren
2018,6,Monaco Grand Prix,18,15,GRO,Romain,Grosjean,French,0,+1 Lap,,Haas F1 Team
2018,6,Monaco Grand Prix,13,16,SIR,Sergey,Sirotkin,Russian,0,+1 Lap,,Williams
2018,6,Monaco Grand Prix,17,17,STR,Lance,Stroll,Canadian,0,+2 Laps,,Williams
2018,6,Monaco Grand Prix,14,18,LEC,Charles,Leclerc,Monegasque,0,Collision,,Sauber
2018,6,Monaco Grand Prix,15,19,HAR,Brendon,Hartley,New Zealander,0,Collision,,Toro Rosso
2018,6,Monaco Grand Prix,7,20,ALO,Fernando,Alonso,Spanish,0,Gearbox,,McLaren
