Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2019,13,Belgian Grand Prix,1,1,LEC,Charles,Leclerc,Monegasque,25,Finished,1:23:45.710,Ferrari
2019,13,Belgian Grand Prix,3,2,HAM,Lewis,Hamilton,British,18,Finished,+0.981,Mercedes
2019,13,Belgian Grand Prix,4,3,BOT,Valtteri,Bottas,Finnish,15,Finished,+12.585,Mercedes
2019,13,Belgian Grand Prix,2,4,VET,Sebastian,Vettel,German,13,Finished,+26.422,Ferrari
2019,13,Belgian Grand Prix,17,5,ALB,Alexander,Albon,Thai,10,Finished,+1:21.325,Red Bull
2019,13,Belgian Grand Prix,7,6,PER,Sergio,Pérez,Mexican,8,Finished,+1:24.448,Racing Point
2019,13,Belgian Grand Prix,19,7,KVY,Daniil,Kvyat,Russian,6,Finished,+1:29.657,Toro Rosso
2019,13,Belgian Grand Prix,12,8,HUL,Nico,Hülkenberg,German,4,Finished,+1:46.639,Renault
2019,13,Belgian Grand Prix,13,9,GAS,Pierre,Gasly,French,2,Finished,+1:49.168,Toro Rosso
2019,13,Belgian Grand Prix,16,10,STR,Lance,Stroll,Canadian,1,Finished,+1:49.838,Racing Point
2019,13,Belgian Grand Prix,11,11,NOR,Lando,Norris,British,0,Engine,,McLaren
2019,13,Belgian Grand Prix,8,12,MAG,Kevin,Magnussen,Danish,0,+1 Lap,,Haas F1 Team
2019,13,Belgian Grand Prix,9,13,GRO,Romain,Grosjean,French,0,+1 Lap,,Haas F1 Team
2019,13,Belgian Grand Prix,10,14,RIC,Daniel,Ricciardo,Australian,0,+1 Lap,,Renault
2019,13,Belgian Grand Prix,14,15,RUS,George,Russell,British,0,+1 Lap,,Williams
2019,13,Belgian Grand Prix,6,16,RAI,Kimi,Räikkönen,Finnish,0,+1 Lap,,Alfa Romeo
2019,13,Belgian Grand Prix,0,17,KUB,Robert,Kubica,Polish,0,+1 Lap,,Williams
2019,13,Belgian Grand Prix,18,18,GIO,Antonio,Giovinazzi,Italian,0,Accident,,Alfa Romeo
2019,13,Belgian Grand Prix,15,19,SAI,Carlos,Sainz,Spanish,0,Power loss,,McLaren
2019,13,Belgian Grand Prix,5,20,VER,Max,Verstappen,Dutch,0,Accident,,Red Bull
