Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2019,19,United States Grand Prix,1,1,BOT,Valtteri,Bottas,Finnish,25,Finished,1:33:55.653,Mercedes
2019,19,United States Grand Prix,5,2,HAM,Lewis,Hamilton,British,18,Finished,+4.148,Mercedes
2019,19,United States Grand Prix,3,3,VER,Max,Verstappen,Dutch,15,Finished,+5.002,Red Bull
2019,19,United States Grand Prix,4,4,LEC,Charles,Leclerc,Monegasque,13,Finished,+52.239,Ferrari
2019,19,United States Grand Prix,6,5,ALB,Alexander,Albon,Thai,10,Finished,+1:18.038,Red Bull
2019,19,United States Grand Prix,9,6,RIC,Daniel,Ricciardo,Australian,8,Finished,+1:30.366,Renault
2019,19,United States Grand Prix,8,7,NOR,Lando,Norris,British,6,Finished,+1:30.764,McLaren
2019,19,United States Grand Prix,7,8,SAI,Carlos,Sainz,Spanish,4,+1 Lap,,McLaren
2019,19,United States Grand Prix,11,9,HUL,Nico,Hülkenberg,German,2,+1 Lap,,Renault
2019,19,United States Grand Prix,0,10,PER,Sergio,Pérez,Mexican,1,+1 Lap,,Racing Point
2019,19,United States Grand Prix,17,11,RAI,Kimi,Räikkönen,Finnish,0,+1 Lap,,Alfa Romeo
2019,19,United States Grand Prix,13,12,KVY,Daniil,Kvyat,Russian,0,+1 Lap,,Toro Rosso
2019,19,United States Grand Prix,14,13,STR,Lance,Stroll,Canadian,0,+1 Lap,,Racing Point
2019,19,United States Grand Prix,16,14,GIO,Antonio,Giovinazzi,Italian,0,+1 Lap,,Alfa Romeo
2019,19,United States Grand Prix,15,15,GRO,Romain,Grosjean,French,0,+1 Lap,,Haas F1 Team
2019,19,United States Grand Prix,10,16,GAS,Pierre,Gasly,French,0,Suspension,,Toro Rosso
2019,19,United States Grand Prix,18,17,RUS,George,Russell,British,0,+2 Laps,,Williams
2019,19,United States Grand Prix,12,18,MAG,Kevin,Magnussen,Danish,0,Brakes,,Haas F1 Team
2019,19,United States Grand Prix,19,19,KUB,Robert,Kubica,Polish,0,Oil leak,,Williams
2019,19,United States Grand Prix,2,20,VET,Sebastian,Vettel,German,0,Suspension,,Ferrari
