Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2019,5,Spanish Grand Prix,2,1,HAM,Lewis,Hamilton,British,26,Finished,1:35:50.443,Mercedes
2019,5,Spanish Grand Prix,1,2,BOT,Valtteri,Bottas,Finnish,18,Finished,+4.074,Mercedes
2019,5,Spanish Grand Prix,4,3,VER,Max,Verstappen,Dutch,15,Finished,+7.679,Red Bull
2019,5,Spanish Grand Prix,3,4,VET,Sebastian,Vettel,German,12,Finished,+9.167,Ferrari
2019,5,Spanish Grand Prix,5,5,LEC,Charles,Leclerc,Monegasque,10,Finished,+13.361,Ferrari
2019,5,Spanish Grand Prix,6,6,GAS,Pierre,Gasly,French,8,Finished,+19.576,Red Bull
2019,5,Spanish Grand Prix,8,7,MAG,Kevin,Magnussen,Danish,6,Finished,+28.159,Haas F1 Team
2019,5,Spanish Grand Prix,12,8,SAI,Carlos,Sainz,Spanish,4,Finished,+32.342,McLaren
2019,5,Spanish Grand Prix,9,9,KVY,Daniil,Kvyat,Russian,2,Finished,+33.056,Toro Rosso
2019,5,Spanish Grand Prix,7,10,GRO,Romain,Grosjean,French,1,Finished,+34.641,Haas F1 Team
2019,5,Spanish Grand Prix,11,11,ALB,Alexander,Albon,Thai,0,Finished,+35.445,Toro Rosso
2019,5,Spanish Grand Prix,13,12,RIC,Daniel,Ricciardo,Australian,0,Finished,+36.758,Renault
2019,5,Spanish Grand Prix,0,13,HUL,Nico,Hülkenberg,German,0,Finished,+39.241,Renault
2019,5,Spanish Grand Prix,14,14,RAI,Kimi,Räikkönen,Finnish,0,Finished,+41.803,Alfa Romeo
2019,5,Spanish Grand Prix,15,15,PER,Sergio,Pérez,Mexican,0,Finished,+46.877,Racing Point
2019,5,Spanish Grand Prix,18,16,GIO,Antonio,Giovinazzi,Italian,0,Finished,+47.691,Alfa Romeo
2019,5,Spanish Grand Prix,19,17,RUS,George,Russell,British,0,+1 Lap,,Williams
2019,5,Spanish Grand Prix,17,18,KUB,Robert,Kubica,Polish,0,+1 Lap,,Williams
2019,5,Spanish Grand Prix,16,19,STR,Lance,Stroll,Canadian,0,Collision,,Racing Point
2019,5,Spanish Grand Prix,10,20,NOR,Lando,Norris,British,0,Collision,,McLaren
