Season,Round,Championship Position,DriverID,FirstName,FamilyName,Nationaility,Points
2019,7,1,hamilton,Lewis,Hamilton,British,162
2019,7,2,bottas,Valtteri,Bottas,Finnish,133
2019,7,3,vettel,Sebastian,Vettel,German,100
2019,7,4,max_verstappen,Max,Verstappen,Dutch,88
2019,7,5,leclerc,Charles,Leclerc,Monegasque,72
2019,7,6,gasly,Pierre,Gasly,French,36
2019,7,7,sainz,Carlos,Sainz,Spanish,18
2019,7,8,ricciardo,Daniel,Ricciardo,Australian,16
2019,7,9,kevin_magnussen,Kevin,Magnussen,Danish,14
2019,7,10,perez,Sergio,Pérez,Mexican,13
2019,7,11,raikkonen,Kimi,Räikkönen,Finnish,13
2019,7,12,norris,Lando,Norris,British,12
2019,7,13,hulkenberg,Nico,Hülkenberg,German,12
2019,7,14,kvyat,Daniil,Kvyat,Russian,10
2019,7,15,albon,Alexander,Albon,Thai,7
2019,7,16,stroll,Lance,Stroll,Canadian,6
2019,7,17,grosjean,Romain,Grosjean,French,2
2019,7,18,giovinazzi,Antonio,Giovinazzi,Italian,0
2019,7,19,russell,George,Russell,British,0
2019,7,20,kubica,Robert,Kubica,Polish,0
