Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2019,7,Canadian Grand Prix,2,1,HAM,Lewis,Hamilton,British,25,Finished,1:29:07.084,Mercedes
2019,7,Canadian Grand Prix,1,2,VET,Sebastian,Vettel,German,18,Finished,+3.658,Ferrari
2019,7,Canadian Grand Prix,3,3,LEC,Charles,Leclerc,Monegasque,15,Finished,+4.696,Ferrari
2019,7,Canadian Grand Prix,6,4,BOT,Valtteri,Bottas,Finnish,13,Finished,+51.043,Mercedes
2019,7,Canadian Grand Prix,9,5,VER,Max,Verstappen,Dutch,10,Finished,+57.655,Red Bull
2019,7,Canadian Grand Prix,4,6,RIC,Daniel,Ricciardo,Australian,8,+1 Lap,,Renault
2019,7,Canadian Grand Prix,7,7,HUL,Nico,Hülkenberg,German,6,+1 Lap,,Renault
2019,7,Canadian Grand Prix,5,8,GAS,Pierre,Gasly,French,4,+1 Lap,,Red Bull
2019,7,Canadian Grand Prix,17,9,STR,Lance,Stroll,Canadian,2,+1 Lap,,Racing Point
2019,7,Canadian Grand Prix,10,10,KVY,Daniil,Kvyat,Russian,1,+1 Lap,,Toro Rosso
2019,7,Canadian Grand Prix,11,11,SAI,Carlos,Sainz,Spanish,0,+1 Lap,,McLaren
2019,7,Canadian Grand Prix,15,12,PER,Sergio,Pérez,Mexican,0,+1 Lap,,Racing Point
2019,7,Canadian Grand Prix,12,13,GIO,Antonio,Giovinazzi,Italian,0,+1 Lap,,Alfa Romeo
2019,7,Canadian Grand Prix,14,14,GRO,Romain,Grosjean,French,0,+1 Lap,,Haas F1 Team
2019,7,Canadian Grand Prix,16,15,RAI,Kimi,Räikkönen,Finnish,0,+1 Lap,,Alfa Romeo
2019,7,Canadian Grand Prix,18,16,RUS,George,Russell,British,0,+2 Laps,,Williams
2019,7,Canadian Grand Prix,0,17,MAG,Kevin,Magnussen,Danish,0,+2 Laps,,Haas F1 Team
2019,7,Canadian Grand Prix,19,18,KUB,Robert,Kubica,Polish,0,+3 Laps,,Williams
2019,7,Canadian Grand Prix,13,19,ALB,Alexander,Albon,Thai,0,Collision damage,,Toro Rosso
2019,7,Canadian Grand Prix,8,20,NOR,Lando,Norris,British,0,Suspension,,McLaren
