Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2020,11,Eifel Grand Prix,2,1,HAM,Lewis,Hamilton,British,25,Finished,1:35:49.641,Mercedes
2020,11,Eifel Grand Prix,3,2,VER,Max,Verstappen,Dutch,19,Finished,+4.470,Red Bull
2020,11,Eifel Grand Prix,6,3,RIC,Daniel,Ricciardo,Australian,15,Finished,+14.613,Renault
2020,11,Eifel Grand Prix,9,4,PER,Sergio,Pérez,Mexican,12,Finished,+16.070,Racing Point
2020,11,Eifel Grand Prix,10,5,SAI,Carlos,Sainz,Spanish,10,Finished,+21.905,McLaren
2020,11,Eifel Grand Prix,12,6,GAS,Pierre,Gasly,French,8,Finished,+22.766,AlphaTauri
2020,11,Eifel Grand Prix,4,7,LEC,Charles,Leclerc,Monegasque,6,Finished,+30.814,Ferrari
2020,11,Eifel Grand Prix,20,8,HUL,Nico,Hülkenberg,German,4,Finished,+32.596,Racing Point
2020,11,Eifel Grand Prix,16,9,GRO,Romain,Grosjean,French,2,Finished,+39.081,Haas F1 Team
2020,11,Eifel Grand Prix,14,10,GIO,Antonio,Giovinazzi,Italian,1,Finished,+40.035,Alfa Romeo
2020,11,Eifel Grand Prix,11,11,VET,Sebastian,Vettel,German,0,Finished,+40.810,Ferrari
2020,11,Eifel Grand Prix,19,12,RAI,Kimi,Räikkönen,Finnish,0,Finished,+41.476,Alfa Romeo
2020,11,Eifel Grand Prix,15,13,MAG,Kevin,Magnussen,Danish,0,Finished,+49.585,Haas F1 Team
2020,11,Eifel Grand Prix,18,14,LAT,Nicholas,Latifi,Canadian,0,Finished,+54.449,Williams
2020,11,Eifel Grand Prix,13,15,KVY,Daniil,Kvyat,Russian,0,Finished,+55.588,AlphaTauri
2020,11,Eifel Grand Prix,8,16,NOR,Lando,Norris,British,0,Power Unit,,McLaren
2020,11,Eifel Grand Prix,5,17,ALB,Alexander,Albon,Thai,0,Radiator,,Red Bull
2020,11,Eifel Grand Prix,7,18,OCO,Esteban,Ocon,French,0,Gearbox,,Renault
2020,11,Eifel Grand Prix,1,19,BOT,Valtteri,Bottas,Finnish,0,Power Unit,,Mercedes
2020,11,Eifel Grand Prix,17,20,RUS,George,Russell,British,0,Collision,,Williams
