Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2020,15,Bahrain Grand Prix,1,1,HAM,Lewis,Hamilton,British,25,Finished,2:59:47.515,Mercedes
2020,15,Bahrain Grand Prix,3,2,VER,Max,Verstappen,Dutch,19,Finished,+1.254,Red Bull
2020,15,Bahrain Grand Prix,4,3,ALB,Alexander,Albon,Thai,15,Finished,+8.005,Red Bull
2020,15,Bahrain Grand Prix,9,4,NOR,Lando,Norris,British,12,Finished,+11.337,McLaren
2020,15,Bahrain Grand Prix,15,5,SAI,Carlos,Sainz,Spanish,10,Finished,+11.787,McLaren
2020,15,Bahrain Grand Prix,8,6,GAS,Pierre,Gasly,French,8,Finished,+11.942,AlphaTauri
2020,15,Bahrain Grand Prix,6,7,RIC,Daniel,Ricciardo,Australian,6,Finished,+19.368,Renault
2020,15,Bahrain Grand Prix,2,8,BOT,Valtteri,Bottas,Finnish,4,Finished,+19.680,Mercedes
2020,15,Bahrain Grand Prix,7,9,OCO,Esteban,Ocon,French,2,Finished,+22.803,Renault
2020,15,Bahrain Grand Prix,12,10,LEC,Charles,Leclerc,Monegasque,1,+1 Lap,,Ferrari
2020,15,Bahrain Grand Prix,10,11,KVY,Daniil,Kvyat,Russian,0,+1 Lap,,AlphaTauri
2020,15,Bahrain Grand Prix,14,12,RUS,George,Russell,British,0,+1 Lap,,Williams
2020,15,Bahrain Grand Prix,11,13,VET,Sebastian,Vettel,German,0,+1 Lap,,Ferrari
2020,15,Bahrain Grand Prix,20,14,LAT,Nicholas,Latifi,Canadian,0,+1 Lap,,Williams
2020,15,Bahrain Grand Prix,17,15,RAI,Kimi,Räikkönen,Finnish,0,+1 Lap,,Alfa Romeo
2020,15,Bahrain Grand Prix,16,16,GIO,Antonio,Giovinazzi,Italian,0,+1 Lap,,Alfa Romeo
2020,15,Bahrain Grand Prix,18,17,MAG,Kevin,Magnussen,Danish,0,+1 Lap,,Haas F1 Team
2020,15,Bahrain Grand Prix,5,18,PER,Sergio,Pérez,Mexican,0,Engine,,Racing Point
2020,15,Bahrain Grand Prix,13,19,STR,Lance,Stroll,Canadian,0,Collision,,Racing Point
2020,15,Bahrain Grand Prix,19,20,GRO,Romain,Grosjean,French,0,Collision,,Haas F1 Team
