Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2021,12,Belgian Grand Prix,1,1,VER,Max,Verstappen,Dutch,12.5,Finished,3:27.071,Red Bull
2021,12,Belgian Grand Prix,2,2,RUS,George,Russell,British,9,Finished,+1.995,Williams
2021,12,Belgian Grand Prix,3,3,HAM,Lewis,Hamilton,British,7.5,Finished,+2.601,Mercedes
2021,12,Belgian Grand Prix,4,4,RIC,Daniel,Ricciardo,Australian,6,Finished,+4.496,McLaren
2021,12,Belgian Grand Prix,5,5,VET,Sebastian,Vettel,German,5,Finished,+7.479,Aston Martin
2021,12,Belgian Grand Prix,6,6,GAS,Pierre,Gasly,French,4,Finished,+10.177,AlphaTauri
2021,12,Belgian Grand Prix,8,7,OCO,Esteban,Ocon,French,3,Finished,+11.579,Alpine F1 Team
2021,12,Belgian Grand Prix,9,8,LEC,Charles,Leclerc,Monegasque,2,Finished,+12.608,Ferrari
2021,12,Belgian Grand Prix,10,9,LAT,Nicholas,Latifi,Canadian,1,Finished,+15.485,Williams
2021,12,Belgian Grand Prix,11,10,SAI,Carlos,Sainz,Spanish,0.5,Finished,+16.166,Ferrari
2021,12,Belgian Grand Prix,12,11,ALO,Fernando,Alonso,Spanish,0,Finished,+20.590,Alpine F1 Team
2021,12,Belgian Grand Prix,13,12,BOT,Valtteri,Bottas,Finnish,0,Finished,+22.414,Mercedes
2021,12,Belgian Grand Prix,14,13,GIO,Antonio,Giovinazzi,Italian,0,Finished,+24.163,Alfa Romeo
2021,12,Belgian Grand Prix,15,14,NOR,Lando,Norris,British,0,Finished,+27.110,McLaren
2021,12,Belgian Grand Prix,16,15,TSU,Yuki,Tsunoda,Japanese,0,Finished,+28.329,AlphaTauri
2021,12,Belgian Grand Prix,17,16,MSC,Mick,Schumacher,German,0,Finished,+29.507,Haas F1 Team
2021,12,Belgian Grand Prix,18,17,MAZ,Nikita,Mazepin,Russian,0,Finished,+31.993,Haas F1 Team
2021,12,Belgian Grand Prix,0,18,RAI,Kimi,Räikkönen,Finnish,0,Finished,+36.054,Alfa Romeo
2021,12,Belgian Grand Prix,0,19,PER,Sergio,Pérez,Mexican,0,Finished,+38.205,Red Bull
2021,12,Belgian Grand Prix,19,20,STR,Lance,Stroll,Canadian,0,Finished,+44.108,Aston Martin
