Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2021,18,Mexico City Grand Prix,3,1,VER,Max,Verstappen,Dutch,25,Finished,1:38:39.086,Red Bull
2021,18,Mexico City Grand Prix,2,2,HAM,Lewis,Hamilton,British,18,Finished,+16.555,Mercedes
2021,18,Mexico City Grand Prix,4,3,PER,Sergio,Pérez,Mexican,15,Finished,+17.752,Red Bull
2021,18,Mexico City Grand Prix,5,4,GAS,Pierre,Gasly,French,12,Finished,+1:03.845,AlphaTauri
2021,18,Mexico City Grand Prix,8,5,LEC,Charles,Leclerc,Monegasque,10,Finished,+1:21.037,Ferrari
2021,18,Mexico City Grand Prix,6,6,SAI,Carlos,Sainz,Spanish,8,+1 Lap,,Ferrari
2021,18,Mexico City Grand Prix,9,7,VET,Sebastian,Vettel,German,6,+1 Lap,,Aston Martin
2021,18,Mexico City Grand Prix,10,8,RAI,Kimi,Räikkönen,Finnish,4,+1 Lap,,Alfa Romeo
2021,18,Mexico City Grand Prix,12,9,ALO,Fernando,Alonso,Spanish,2,+1 Lap,,Alpine F1 Team
2021,18,Mexico City Grand Prix,18,10,NOR,Lando,Norris,British,1,+1 Lap,,McLaren
2021,18,Mexico City Grand Prix,11,11,GIO,Antonio,Giovinazzi,Italian,0,+1 Lap,,Alfa Romeo
2021,18,Mexico City Grand Prix,7,12,RIC,Daniel,Ricciardo,Australian,0,+1 Lap,,McLaren
2021,18,Mexico City Grand Prix,19,13,OCO,Esteban,Ocon,French,0,+1 Lap,,Alpine F1 Team
2021,18,Mexico City Grand Prix,20,14,STR,Lance,Stroll,Canadian,0,+2 Laps,,Aston Martin
2021,18,Mexico City Grand Prix,1,15,BOT,Valtteri,Bottas,Finnish,0,+2 Laps,,Mercedes
2021,18,Mexico City Grand Prix,16,16,RUS,George,Russell,British,0,+2 Laps,,Williams
2021,18,Mexico City Grand Prix,13,17,LAT,Nicholas,Latifi,Canadian,0,+2 Laps,,Williams
2021,18,Mexico City Grand Prix,15,18,MAZ,Nikita,Mazepin,Russian,0,+3 Laps,,Haas F1 Team
2021,18,Mexico City Grand Prix,14,19,MSC,Mick,Schumacher,German,0,Collision,,Haas F1 Team
2021,18,Mexico City Grand Prix,17,20,TSU,Yuki,Tsunoda,Japanese,0,Collision,,AlphaTauri
