Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2021,4,Spanish Grand Prix,1,1,HAM,Lewis,Hamilton,British,25,Finished,1:33:07.680,Mercedes
2021,4,Spanish Grand Prix,2,2,VER,Max,Verstappen,Dutch,19,Finished,+15.841,Red Bull
2021,4,Spanish Grand Prix,3,3,BOT,Valtteri,Bottas,Finnish,15,Finished,+26.610,Mercedes
2021,4,Spanish Grand Prix,4,4,LEC,Charles,Leclerc,Monegasque,12,Finished,+54.616,Ferrari
2021,4,Spanish Grand Prix,8,5,PER,Sergio,Pérez,Mexican,10,Finished,+1:03.671,Red Bull
2021,4,Spanish Grand Prix,7,6,RIC,Daniel,Ricciardo,Australian,8,Finished,+1:13.768,McLaren
2021,4,Spanish Grand Prix,6,7,SAI,Carlos,Sainz,Spanish,6,Finished,+1:14.670,Ferrari
2021,4,Spanish Grand Prix,9,8,NOR,Lando,Norris,British,4,+1 Lap,,McLaren
2021,4,Spanish Grand Prix,5,9,OCO,Esteban,Ocon,French,2,+1 Lap,,Alpine F1 Team
2021,4,Spanish Grand Prix,12,10,GAS,Pierre,Gasly,French,1,+1 Lap,,AlphaTauri
2021,4,Spanish Grand Prix,11,11,STR,Lance,Stroll,Canadian,0,+1 Lap,,Aston Martin
2021,4,Spanish Grand Prix,17,12,RAI,Kimi,Räikkönen,Finnish,0,+1 Lap,,Alfa Romeo
2021,4,Spanish Grand Prix,13,13,VET,Sebastian,Vettel,German,0,+1 Lap,,Aston Martin
2021,4,Spanish Grand Prix,15,14,RUS,George,Russell,British,0,+1 Lap,,Williams
2021,4,Spanish Grand Prix,14,15,GIO,Antonio,Giovinazzi,Italian,0,+1 Lap,,Alfa Romeo
2021,4,Spanish Grand Prix,19,16,LAT,Nicholas,Latifi,Canadian,0,+1 Lap,,Williams
2021,4,Spanish Grand Prix,10,17,ALO,Fernando,Alonso,Spanish,0,+1 Lap,,Alpine F1 Team
2021,4,Spanish Grand Prix,18,18,MSC,Mick,Schumacher,German,0,+2 Laps,,Haas F1 Team
2021,4,Spanish Grand Prix,20,19,MAZ,Nikita,Mazepin,Russian,0,+2 Laps,,Haas F1 Team
2021,4,Spanish Grand Prix,16,20,TSU,Yuki,Tsunoda,Japanese,0,Electrical,,AlphaTauri
