Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2021,6,Azerbaijan Grand Prix,6,1,PER,Sergio,Pérez,Mexican,25,Finished,2:13:36.410,Red Bull
2021,6,Azerbaijan Grand Prix,11,2,VET,Sebastian,Vettel,German,18,Finished,+1.385,Aston Martin
2021,6,Azerbaijan Grand Prix,4,3,GAS,Pierre,Gasly,French,15,Finished,+2.762,AlphaTauri
2021,6,Azerbaijan Grand Prix,1,4,LEC,Charles,Leclerc,Monegasque,12,Finished,+3.828,Ferrari
2021,6,Azerbaijan Grand Prix,9,5,NOR,Lando,Norris,British,10,Finished,+4.754,McLaren
2021,6,Azerbaijan Grand Prix,8,6,ALO,Fernando,Alonso,Spanish,8,Finished,+6.382,Alpine F1 Team
2021,6,Azerbaijan Grand Prix,7,7,TSU,Yuki,Tsunoda,Japanese,6,Finished,+6.624,AlphaTauri
2021,6,Azerbaijan Grand Prix,5,8,SAI,Carlos,Sainz,Spanish,4,Finished,+7.709,Ferrari
2021,6,Azerbaijan Grand Prix,13,9,RIC,Daniel,Ricciardo,Australian,2,Finished,+8.874,McLaren
2021,6,Azerbaijan Grand Prix,14,10,RAI,Kimi,Räikkönen,Finnish,1,Finished,+9.576,Alfa Romeo
2021,6,Azerbaijan Grand Prix,20,11,GIO,Antonio,Giovinazzi,Italian,0,Finished,+10.254,Alfa Romeo
2021,6,Azerbaijan Grand Prix,10,12,BOT,Valtteri,Bottas,Finnish,0,Finished,+11.264,Mercedes
2021,6,Azerbaijan Grand Prix,17,13,MSC,Mick,Schumacher,German,0,Finished,+14.241,Haas F1 Team
2021,6,Azerbaijan Grand Prix,18,14,MAZ,Nikita,Mazepin,Russian,0,Finished,+14.315,Haas F1 Team
2021,6,Azerbaijan Grand Prix,2,15,HAM,Lewis,Hamilton,British,0,Finished,+17.668,Mercedes
2021,6,Azerbaijan Grand Prix,16,16,LAT,Nicholas,Latifi,Canadian,0,Finished,+43.379,Williams
2021,6,Azerbaijan Grand Prix,15,17,RUS,George,Russell,British,0,Gearbox,,Williams
2021,6,Azerbaijan Grand Prix,3,18,VER,Max,Verstappen,Dutch,0,Accident,,Red Bull
2021,6,Azerbaijan Grand Prix,19,19,STR,Lance,Stroll,Canadian,0,Accident,,Aston Martin
2021,6,Azerbaijan Grand Prix,12,20,OCO,Esteban,Ocon,French,0,Turbo,,Alpine F1 Team
