Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2021,8,Styrian Grand Prix,1,1,VER,Max,Verstappen,Dutch,25,Finished,1:22:18.925,Red Bull
2021,8,Styrian Grand Prix,2,2,HAM,Lewis,Hamilton,British,19,Finished,+35.743,Mercedes
2021,8,Styrian Grand Prix,5,3,BOT,Valtteri,Bottas,Finnish,15,Finished,+46.907,Mercedes
2021,8,Styrian Grand Prix,4,4,PER,Sergio,Pérez,Mexican,12,Finished,+47.434,Red Bull
2021,8,Styrian Grand Prix,3,5,NOR,Lando,Norris,British,10,+1 Lap,,McLaren
2021,8,Styrian Grand Prix,12,6,SAI,Carlos,Sainz,Spanish,8,+1 Lap,,Ferrari
2021,8,Styrian Grand Prix,7,7,LEC,Charles,Leclerc,Monegasque,6,+1 Lap,,Ferrari
2021,8,Styrian Grand Prix,9,8,STR,Lance,Stroll,Canadian,4,+1 Lap,,Aston Martin
2021,8,Styrian Grand Prix,8,9,ALO,Fernando,Alonso,Spanish,2,+1 Lap,,Alpine F1 Team
2021,8,Styrian Grand Prix,11,10,TSU,Yuki,Tsunoda,Japanese,1,+1 Lap,,AlphaTauri
2021,8,Styrian Grand Prix,18,11,RAI,Kimi,Räikkönen,Finnish,0,+1 Lap,,Alfa Romeo
2021,8,Styrian Grand Prix,14,12,VET,Sebastian,Vettel,German,0,+1 Lap,,Aston Martin
2021,8,Styrian Grand Prix,13,13,RIC,Daniel,Ricciardo,Australian,0,+1 Lap,,McLaren
2021,8,Styrian Grand Prix,17,14,OCO,Esteban,Ocon,French,0,+1 Lap,,Alpine F1 Team
2021,8,Styrian Grand Prix,15,15,GIO,Antonio,Giovinazzi,Italian,0,+1 Lap,,Alfa Romeo
2021,8,Styrian Grand Prix,19,16,MSC,Mick,Schumacher,German,0,+2 Laps,,Haas F1 Team
2021,8,Styrian Grand Prix,16,17,LAT,Nicholas,Latifi,Canadian,0,+3 Laps,,Williams
2021,8,Styrian Grand Prix,20,18,MAZ,Nikita,Mazepin,Russian,0,+3 Laps,,Haas F1 Team
2021,8,Styrian Grand Prix,10,19,RUS,George,Russell,British,0,Engine,,Williams
2021,8,Styrian Grand Prix,6,20,GAS,Pierre,Gasly,French,0,Collision,,AlphaTauri
