Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2022,3,Australian Grand Prix,1,1,LEC,Charles,Leclerc,Monegasque,26,Finished,1:27:46.548,Ferrari
2022,3,Australian Grand Prix,3,2,PER,Sergio,Pérez,Mexican,18,Finished,+20.524,Red Bull
2022,3,Australian Grand Prix,6,3,RUS,George,Russell,British,15,Finished,+25.593,Mercedes
2022,3,Australian Grand Prix,5,4,HAM,Lewis,Hamilton,British,12,Finished,+28.543,Mercedes
2022,3,Australian Grand Prix,4,5,NOR,Lando,Norris,British,10,Finished,+53.303,McLaren
2022,3,Australian Grand Prix,7,6,RIC,Daniel,Ricciardo,Australian,8,Finished,+53.737,McLaren
2022,3,Australian Grand Prix,8,7,OCO,Esteban,Ocon,French,6,Finished,+1:01.683,Alpine F1 Team
2022,3,Australian Grand Prix,12,8,BOT,Valtteri,Bottas,Finnish,4,Finished,+1:08.439,Alfa Romeo
2022,3,Australian Grand Prix,11,9,GAS,Pierre,Gasly,French,2,Finished,+1:16.221,AlphaTauri
2022,3,Australian Grand Prix,20,10,ALB,Alexander,Albon,Thai,1,Finished,+1:19.382,Williams
2022,3,Australian Grand Prix,14,11,ZHO,Guanyu,Zhou,Chinese,0,Finished,+1:21.695,Alfa Romeo
2022,3,Australian Grand Prix,19,12,STR,Lance,Stroll,Canadian,0,Finished,+1:28.598,Aston Martin
2022,3,Australian Grand Prix,15,13,MSC,Mick,Schumacher,German,0,+1 Lap,,Haas F1 Team
2022,3,Australian Grand Prix,16,14,MAG,Kevin,Magnussen,Danish,0,+1 Lap,,Haas F1 Team
2022,3,Australian Grand Prix,13,15,TSU,Yuki,Tsunoda,Japanese,0,+1 Lap,,AlphaTauri
2022,3,Australian Grand Prix,18,16,LAT,Nicholas,Latifi,Canadian,0,+1 Lap,,Williams
2022,3,Australian Grand Prix,10,17,ALO,Fernando,Alonso,Spanish,0,+1 Lap,,Alpine F1 Team
2022,3,Australian Grand Prix,2,18,VER,Max,Verstappen,Dutch,0,Fuel leak,,Red Bull
2022,3,Australian Grand Prix,17,19,VET,Sebastian,Vettel,German,0,Accident,,Aston Martin
2022,3,Australian Grand Prix,9,20,SAI,Carlos,Sainz,Spanish,0,Spun off,,Ferrari
