Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2022,8,Azerbaijan Grand Prix,3,1,VER,Max,Verstappen,Dutch,25,Finished,1:34:05.941,Red Bull
2022,8,Azerbaijan Grand Prix,2,2,PER,Sergio,Pérez,Mexican,19,Finished,+20.823,Red Bull
2022,8,Azerbaijan Grand Prix,5,3,RUS,George,Russell,British,15,Finished,+45.995,Mercedes
2022,8,Azerbaijan Grand Prix,7,4,HAM,Lewis,Hamilton,British,12,Finished,+1:11.679,Mercedes
2022,8,Azerbaijan Grand Prix,6,5,GAS,Pierre,Gasly,French,10,Finished,+1:17.299,AlphaTauri
2022,8,Azerbaijan Grand Prix,9,6,VET,Sebastian,Vettel,German,8,Finished,+1:24.099,Aston Martin
2022,8,Azerbaijan Grand Prix,10,7,ALO,Fernando,Alonso,Spanish,6,Finished,+1:28.596,Alpine F1 Team
2022,8,Azerbaijan Grand Prix,12,8,RIC,Daniel,Ricciardo,Australian,4,Finished,+1:32.207,McLaren
2022,8,Azerbaijan Grand Prix,11,9,NOR,Lando,Norris,British,2,Finished,+1:32.556,McLaren
2022,8,Azerbaijan Grand Prix,13,10,OCO,Esteban,Ocon,French,1,Finished,+1:48.184,Alpine F1 Team
2022,8,Azerbaijan Grand Prix,15,11,BOT,Valtteri,Bottas,Finnish,0,+1 Lap,,Alfa Romeo
2022,8,Azerbaijan Grand Prix,17,12,ALB,Alexander,Albon,Thai,0,+1 Lap,,Williams
2022,8,Azerbaijan Grand Prix,8,13,TSU,Yuki,Tsunoda,Japanese,0,+1 Lap,,AlphaTauri
2022,8,Azerbaijan Grand Prix,20,14,MSC,Mick,Schumacher,German,0,+1 Lap,,Haas F1 Team
2022,8,Azerbaijan Grand Prix,18,15,LAT,Nicholas,Latifi,Canadian,0,+1 Lap,,Williams
2022,8,Azerbaijan Grand Prix,19,16,STR,Lance,Stroll,Canadian,0,Vibrations,,Aston Martin
2022,8,Azerbaijan Grand Prix,16,17,MAG,Kevin,Magnussen,Danish,0,Power Unit,,Haas F1 Team
2022,8,Azerbaijan Grand Prix,14,18,ZHO,Guanyu,Zhou,Chinese,0,Hydraulics,,Alfa Romeo
2022,8,Azerbaijan Grand Prix,1,19,LEC,Charles,Leclerc,Monegasque,0,Power Unit,,Ferrari
2022,8,Azerbaijan Grand Prix,4,20,SAI,Carlos,Sainz,Spanish,0,Hydraulics,,Ferrari
