Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2023,1,Bahrain Grand Prix,1,1,VER,Max,Verstappen,Dutch,25,Finished,1:33:56.736,Red Bull
2023,1,Bahrain Grand Prix,2,2,PER,Sergio,Pérez,Mexican,18,Finished,+11.987,Red Bull
2023,1,Bahrain Grand Prix,5,3,ALO,Fernando,Alonso,Spanish,15,Finished,+38.637,Aston Martin
2023,1,Bahrain Grand Prix,4,4,SAI,Carlos,Sainz,Spanish,12,Finished,+48.052,Ferrari
2023,1,Bahrain Grand Prix,7,5,HAM,Lewis,Hamilton,British,10,Finished,+50.977,Mercedes
2023,1,Bahrain Grand Prix,8,6,STR,Lance,Stroll,Canadian,8,Finished,+54.502,Aston Martin
2023,1,Bahrain Grand Prix,6,7,RUS,George,Russell,British,6,Finished,+55.873,Mercedes
2023,1,Bahrain Grand Prix,12,8,BOT,Valtteri,Bottas,Finnish,4,Finished,+1:12.647,Alfa Romeo
2023,1,Bahrain Grand Prix,20,9,GAS,Pierre,Gasly,French,2,Finished,+1:13.753,Alpine F1 Team
2023,1,Bahrain Grand Prix,15,10,ALB,Alexander,Albon,Thai,1,Finished,+1:29.774,Williams
2023,1,Bahrain Grand Prix,14,11,TSU,Yuki,Tsunoda,Japanese,0,Finished,+1:30.870,AlphaTauri
2023,1,Bahrain Grand Prix,16,12,SAR,Logan,Sargeant,American,0,+1 Lap,,Williams
2023,1,Bahrain Grand Prix,17,13,MAG,Kevin,Magnussen,Danish,0,+1 Lap,,Haas F1 Team
2023,1,Bahrain Grand Prix,19,14,DEV,Nyck,de Vries,Dutch,0,+1 Lap,,AlphaTauri
2023,1,Bahrain Grand Prix,10,15,HUL,Nico,Hülkenberg,German,0,+1 Lap,,Haas F1 Team
2023,1,Bahrain Grand Prix,13,16,ZHO,Guanyu,Zhou,Chinese,0,+1 Lap,,Alfa Romeo
2023,1,Bahrain Grand Prix,11,17,NOR,Lando,Norris,British,0,+2 Laps,,McLaren
2023,1,Bahrain Grand Prix,9,18,OCO,Esteban,Ocon,French,0,Mechanical,,Alpine F1 Team
2023,1,Bahrain Grand Prix,3,19,LEC,Charles,Leclerc,Monegasque,0,Engine,,Ferrari
2023,1,Bahrain Grand Prix,18,20,PIA,Oscar,Piastri,Australian,0,Electrical,,McLaren
