Season,Round,Championship Position,DriverID,FirstName,FamilyName,Nationaility,Points
2024,23,1,max_verstappen,Max,Verstappen,Dutch,429
2024,23,2,norris,Lando,Norris,British,349
2024,23,3,leclerc,Charles,Leclerc,Monegasque,341
2024,23,4,piastri,Oscar,Piastri,Australian,291
2024,23,5,sainz,Carlos,Sainz,Spanish,272
2024,23,6,russell,George,Russell,British,235
2024,23,7,hamilton,Lewis,Hamilton,British,211
2024,23,8,perez,Sergio,Pérez,Mexican,152
2024,23,9,alonso,Fernando,Alonso,Spanish,68
2024,23,10,hulkenberg,Nico,Hülkenberg,German,37
2024,23,11,gasly,Pierre,Gasly,French,36
2024,23,12,tsunoda,Yuki,Tsunoda,Japanese,30
2024,23,13,stroll,Lance,Stroll,Canadian,24
2024,23,14,ocon,Esteban,Ocon,French,23
2024,23,15,kevin_magnussen,Kevin,Magnussen,Danish,16
2024,23,16,albon,Alexander,Albon,Thai,12
2024,23,17,ricciardo,Daniel,Ricciardo,Australian,12
2024,23,18,bearman,Oliver,Bearman,British,7
2024,23,19,colapinto,Franco,Colapinto,Argentinian,5
2024,23,20,zhou,Guanyu,Zhou,Chinese,4
2024,23,21,lawson,Liam,Lawson,New Zealander,4
2024,23,22,bottas,Valtteri,Bottas,Finnish,0
2024,23,23,sargeant,Logan,Sargeant,American,0
