Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2024,12,British Grand Prix,2,1,HAM,Lewis,Hamilton,British,25,Finished,1:22:27.059,Mercedes
2024,12,British Grand Prix,4,2,VER,Max,Verstappen,Dutch,18,Finished,+1.465,Red Bull
2024,12,British Grand Prix,3,3,NOR,Lando,Norris,British,15,Finished,+7.547,McLaren
2024,12,British Grand Prix,5,4,PIA,Oscar,Piastri,Australian,12,Finished,+12.429,McLaren
2024,12,British Grand Prix,7,5,SAI,Carlos,Sainz,Spanish,11,Finished,+47.318,Ferrari
2024,12,British Grand Prix,6,6,HUL,Nico,Hülkenberg,German,8,Finished,+55.722,Haas F1 Team
2024,12,British Grand Prix,8,7,STR,Lance,Stroll,Canadian,6,Finished,+56.569,Aston Martin
2024,12,British Grand Prix,10,8,ALO,Fernando,Alonso,Spanish,4,Finished,+1:03.577,Aston Martin
2024,12,British Grand Prix,9,9,ALB,Alexander,Albon,Thai,2,Finished,+1:08.387,Williams
2024,12,British Grand Prix,13,10,TSU,Yuki,Tsunoda,Japanese,1,Finished,+1:19.303,RB F1 Team
2024,12,British Grand Prix,12,11,SAR,Logan,Sargeant,American,0,Finished,+1:28.960,Williams
2024,12,British Grand Prix,17,12,MAG,Kevin,Magnussen,Danish,0,Finished,+1:30.153,Haas F1 Team
2024,12,British Grand Prix,15,13,RIC,Daniel,Ricciardo,Australian,0,+1 Lap,,RB F1 Team
2024,12,British Grand Prix,11,14,LEC,Charles,Leclerc,Monegasque,0,+1 Lap,,Ferrari
2024,12,British Grand Prix,16,15,BOT,Valtteri,Bottas,Finnish,0,+1 Lap,,Sauber
2024,12,British Grand Prix,18,16,OCO,Esteban,Ocon,French,0,+2 Laps,,Alpine F1 Team
2024,12,British Grand Prix,0,17,PER,Sergio,Pérez,Mexican,0,+2 Laps,,Red Bull
2024,12,British Grand Prix,14,18,ZHO,Guanyu,Zhou,Chinese,0,+2 Laps,,Sauber
2024,12,British Grand Prix,1,19,RUS,George,Russell,British,0,Water pressure,,Mercedes
2024,12,British Grand Prix,19,20,GAS,Pierre,Gasly,French,0,Gearbox,,Alpine F1 Team
