Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2024,13,Hungarian Grand Prix,2,1,PIA,Oscar,Piastri,Australian,25,Finished,1:38:01.989,McLaren
2024,13,Hungarian Grand Prix,1,2,NOR,Lando,Norris,British,18,Finished,+2.141,McLaren
2024,13,Hungarian Grand Prix,5,3,HAM,Lewis,Hamilton,British,15,Finished,+14.880,Mercedes
2024,13,Hungarian Grand Prix,6,4,LEC,Charles,Leclerc,Monegasque,12,Finished,+19.686,Ferrari
2024,13,Hungarian Grand Prix,3,5,VER,Max,Verstappen,Dutch,10,Finished,+21.349,Red Bull
2024,13,Hungarian Grand Prix,4,6,SAI,Carlos,Sainz,Spanish,8,Finished,+23.073,Ferrari
2024,13,Hungarian Grand Prix,16,7,PER,Sergio,Pérez,Mexican,6,Finished,+39.792,Red Bull
2024,13,Hungarian Grand Prix,17,8,RUS,George,Russell,British,5,Finished,+42.368,Mercedes
2024,13,Hungarian Grand Prix,10,9,TSU,Yuki,Tsunoda,Japanese,2,Finished,+1:17.259,RB F1 Team
2024,13,Hungarian Grand Prix,8,10,STR,Lance,Stroll,Canadian,1,Finished,+1:17.976,Aston Martin
2024,13,Hungarian Grand Prix,7,11,ALO,Fernando,Alonso,Spanish,0,Finished,+1:22.460,Aston Martin
2024,13,Hungarian Grand Prix,9,12,RIC,Daniel,Ricciardo,Australian,0,+1 Lap,,RB F1 Team
2024,13,Hungarian Grand Prix,11,13,HUL,Nico,Hülkenberg,German,0,+1 Lap,,Haas F1 Team
2024,13,Hungarian Grand Prix,13,14,ALB,Alexander,Albon,Thai,0,+1 Lap,,Williams
2024,13,Hungarian Grand Prix,15,15,MAG,Kevin,Magnussen,Danish,0,+1 Lap,,Haas F1 Team
2024,13,Hungarian Grand Prix,12,16,BOT,Valtteri,Bottas,Finnish,0,+1 Lap,,Sauber
2024,13,Hungarian Grand Prix,14,17,SAR,Logan,Sargeant,American,0,+1 Lap,,Williams
2024,13,Hungarian Grand Prix,19,18,OCO,Esteban,Ocon,French,0,+1 Lap,,Alpine F1 Team
2024,13,Hungarian Grand Prix,18,19,ZHO,Guanyu,Zhou,Chinese,0,+1 Lap,,Sauber
2024,13,Hungarian Grand Prix,0,20,GAS,Pierre,Gasly,French,0,Hydraulics,,Alpine F1 Team
