Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2024,14,Belgian Grand Prix,3,1,HAM,Lewis,Hamilton,British,25,Finished,+0.526,Mercedes
2024,14,Belgian Grand Prix,5,2,PIA,Oscar,Piastri,Australian,18,Finished,+1.173,McLaren
2024,14,Belgian Grand Prix,1,3,LEC,Charles,Leclerc,Monegasque,15,Finished,+8.549,Ferrari
2024,14,Belgian Grand Prix,11,4,VER,Max,Verstappen,Dutch,12,Finished,+9.226,Red Bull
2024,14,Belgian Grand Prix,4,5,NOR,Lando,Norris,British,10,Finished,+9.850,McLaren
2024,14,Belgian Grand Prix,7,6,SAI,Carlos,Sainz,Spanish,8,Finished,+19.795,Ferrari
2024,14,Belgian Grand Prix,2,7,PER,Sergio,Pérez,Mexican,7,Finished,+43.195,Red Bull
2024,14,Belgian Grand Prix,8,8,ALO,Fernando,Alonso,Spanish,4,Finished,+49.963,Aston Martin
2024,14,Belgian Grand Prix,9,9,OCO,Esteban,Ocon,French,2,Finished,+52.552,Alpine F1 Team
2024,14,Belgian Grand Prix,13,10,RIC,Daniel,Ricciardo,Australian,1,Finished,+54.926,RB F1 Team
2024,14,Belgian Grand Prix,15,11,STR,Lance,Stroll,Canadian,0,Finished,+1:03.011,Aston Martin
2024,14,Belgian Grand Prix,10,12,ALB,Alexander,Albon,Thai,0,Finished,+1:03.651,Williams
2024,14,Belgian Grand Prix,12,13,GAS,Pierre,Gasly,French,0,Finished,+1:04.365,Alpine F1 Team
2024,14,Belgian Grand Prix,17,14,MAG,Kevin,Magnussen,Danish,0,Finished,+1:06.631,Haas F1 Team
2024,14,Belgian Grand Prix,14,15,BOT,Valtteri,Bottas,Finnish,0,Finished,+1:10.638,Sauber
2024,14,Belgian Grand Prix,20,16,TSU,Yuki,Tsunoda,Japanese,0,Finished,+1:16.737,RB F1 Team
2024,14,Belgian Grand Prix,18,17,SAR,Logan,Sargeant,American,0,Finished,+1:26.057,Williams
2024,14,Belgian Grand Prix,16,18,HUL,Nico,Hülkenberg,German,0,Finished,+1:28.833,Haas F1 Team
2024,14,Belgian Grand Prix,19,19,ZHO,Guanyu,Zhou,Chinese,0,Retired,,Sauber
2024,14,Belgian Grand Prix,6,20,RUS,George,Russell,British,0,Disqualified,1:19:57.040,Mercedes
