Season,roundNum,raceNum,qualiPosition,racePosition,driverID,firstName,familyName,nationality,totalPoints,status,gap,constructor
2024,17,Azerbaijan Grand Prix,2,1,PIA,Oscar,Piastri,Australian,25,Finished,1:32:58.007,McLaren
2024,17,Azerbaijan Grand Prix,1,2,LEC,Charles,Leclerc,Monegasque,18,Finished,+10.910,Ferrari
2024,17,Azerbaijan Grand Prix,5,3,RUS,George,Russell,British,15,Finished,+31.328,Mercedes
2024,17,Azerbaijan Grand Prix,15,4,NOR,Lando,Norris,British,13,Finished,+36.143,McLaren
2024,17,Azerbaijan Grand Prix,6,5,VER,Max,Verstappen,Dutch,10,Finished,+1:17.098,Red Bull
2024,17,Azerbaijan Grand Prix,7,6,ALO,Fernando,Alonso,Spanish,8,Finished,+1:25.468,Aston Martin
2024,17,Azerbaijan Grand Prix,9,7,ALB,Alexander,Albon,Thai,6,Finished,+1:27.396,Williams
2024,17,Azerbaijan Grand Prix,8,8,COL,Franco,Colapinto,Argentinian,4,Finished,+1:29.541,Williams
2024,17,Azerbaijan Grand Prix,0,9,HAM,Lewis,Hamilton,British,2,Finished,+1:32.401,Mercedes
2024,17,Azerbaijan Grand Prix,10,10,BEA,Oliver,Bearman,British,1,Finished,+1:33.127,Haas F1 Team
2024,17,Azerbaijan Grand Prix,12,11,HUL,Nico,Hülkenberg,German,0,Finished,+1:33.465,Haas F1 Team
2024,17,Azerbaijan Grand Prix,18,12,GAS,Pierre,Gasly,French,0,Finished,+1:57.189,Alpine F1 Team
2024,17,Azerbaijan Grand Prix,14,13,RIC,Daniel,Ricciardo,Australian,0,Finished,+2:26.907,RB F1 Team
2024,17,Azerbaijan Grand Prix,17,14,ZHO,Guanyu,Zhou,Chinese,0,Finished,+2:28.841,Sauber
2024,17,Azerbaijan Grand Prix,0,15,OCO,Esteban,Ocon,French,0,+1 Lap,,Alpine F1 Team
2024,17,Azerbaijan Grand Prix,16,16,BOT,Valtteri,Bottas,Finnish,0,+1 Lap,,Sauber
2024,17,Azerbaijan Grand Prix,4,17,PER,Sergio,Pérez,Mexican,0,Retired,,Red Bull
2024,17,Azerbaijan Grand Prix,3,18,SAI,Carlos,Sainz,Spanish,0,Retired,,Ferrari
2024,17,Azerbaijan Grand Prix,13,19,STR,Lance,Stroll,Canadian,0,Retired,,Aston Martin
2024,17,Azerbaijan Grand Prix,11,20,TSU,Yuki,Tsunoda,Japanese,0,Retired,,RB F1 Team
