Season,roundNumber,raceName,circuitName,Country,City,Date
2000,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Melbourne,2000-03-12
2000,2,Brazilian Grand Prix,Autódromo José Carlos Pace,Brazil,São Paulo,2000-03-26
2000,3,San Marino Grand Prix,Autodromo Enzo e Dino Ferrari,Italy,Imola,2000-04-09
2000,4,British Grand Prix,Silverstone Circuit,UK,Silverstone,2000-04-23
2000,5,Spanish Grand Prix,Circuit de Barcelona-Catalunya,Spain,Montmeló,2000-05-07
2000,6,European Grand Prix,Nürburgring,Germany,Nürburg,2000-05-21
2000,7,Monaco Grand Prix,Circuit de Monaco,Monaco,Monte-Carlo,2000-06-04
2000,8,Canadian Grand Prix,Circuit Gilles Villeneuve,Canada,Montreal,2000-06-18
2000,9,French Grand Prix,Circuit de Nevers Magny-Cours,France,Magny Cours,2000-07-02
2000,10,Austrian Grand Prix,Red Bull Ring,Austria,Spielberg,2000-07-16
2000,11,German Grand Prix,Hockenheimring,Germany,Hockenheim,2000-07-30
2000,12,Hungarian Grand Prix,Hungaroring,Hungary,Budapest,2000-08-13
2000,13,Belgian Grand Prix,Circuit de Spa-Francorchamps,Belgium,Spa,2000-08-27
2000,14,Italian Grand Prix,Autodromo Nazionale di Monza,Italy,Monza,2000-09-10
2000,15,United States Grand Prix,Indianapolis Motor Speedway,USA,Indianapolis,2000-09-24
2000,16,Japanese Grand Prix,Suzuka Circuit,Japan,Suzuka,2000-10-08
2000,17,Malaysian Grand Prix,Sepang International Circuit,Malaysia,Kuala Lumpur,2000-10-22
2001,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Melbourne,2001-03-04
2001,2,Malaysian Grand Prix,Sepang International Circuit,Malaysia,Kuala Lumpur,2001-03-18
2001,3,Brazilian Grand Prix,Autódromo José Carlos Pace,Brazil,São Paulo,2001-04-01
2001,4,San Marino Grand Prix,Autodromo Enzo e Dino Ferrari,Italy,Imola,2001-04-15
2001,5,Spanish Grand Prix,Circuit de Barcelona-Catalunya,Spain,Montmeló,2001-04-29
2001,6,Austrian Grand Prix,Red Bull Ring,Austria,Spielberg,2001-05-13
2001,7,Monaco Grand Prix,Circuit de Monaco,Monaco,Monte-Carlo,2001-05-27
2001,8,Canadian Grand Prix,Circuit Gilles Villeneuve,Canada,Montreal,2001-06-10
2001,9,European Grand Prix,Nürburgring,Germany,Nürburg,2001-06-24
2001,10,French Grand Prix,Circuit de Nevers Magny-Cours,France,Magny Cours,2001-07-01
2001,11,British Grand Prix,Silverstone Circuit,UK,Silverstone,2001-07-15
2001,12,German Grand Prix,Hockenheimring,Germany,Hockenheim,2001-07-29
2001,13,Hungarian Grand Prix,Hungaroring,Hungary,Budapest,2001-08-19
2001,14,Belgian Grand Prix,Circuit de Spa-Francorchamps,Belgium,Spa,2001-09-02
2001,15,Italian Grand Prix,Autodromo Nazionale di Monza,Italy,Monza,2001-09-16
2001,16,United States Grand Prix,Indianapolis Motor Speedway,USA,Indianapolis,2001-09-30
2001,17,Japanese Grand Prix,Suzuka Circuit,Japan,Suzuka,2001-10-14
2002,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Melbourne,2002-03-03
2002,2,Malaysian Grand Prix,Sepang International Circuit,Malaysia,Kuala Lumpur,2002-03-17
2002,3,Brazilian Grand Prix,Autódromo José Carlos Pace,Brazil,São Paulo,2002-03-31
2002,4,San Marino Grand Prix,Autodromo Enzo e Dino Ferrari,Italy,Imola,2002-04-14
2002,5,Spanish Grand Prix,Circuit de Barcelona-Catalunya,Spain,Montmeló,2002-04-28
2002,6,Austrian Grand Prix,Red Bull Ring,Austria,Spielberg,2002-05-12
2002,7,Monaco Grand Prix,Circuit de Monaco,Monaco,Monte-Carlo,2002-05-26
2002,8,Canadian Grand Prix,Circuit Gilles Villeneuve,Canada,Montreal,2002-06-09
2002,9,European Grand Prix,Nürburgring,Germany,Nürburg,2002-06-23
2002,10,British Grand Prix,Silverstone Circuit,UK,Silverstone,2002-07-07
2002,11,French Grand Prix,Circuit de Nevers Magny-Cours,France,Magny Cours,2002-07-21
2002,12,German Grand Prix,Hockenheimring,Germany,Hockenheim,2002-07-28
2002,13,Hungarian Grand Prix,Hungaroring,Hungary,Budapest,2002-08-18
2002,14,Belgian Grand Prix,Circuit de Spa-Francorchamps,Belgium,Spa,2002-09-01
2002,15,Italian Grand Prix,Autodromo Nazionale di Monza,Italy,Monza,2002-09-15
2002,16,United States Grand Prix,Indianapolis Motor Speedway,USA,Indianapolis,2002-09-29
2002,17,Japanese Grand Prix,Suzuka Circuit,Japan,Suzuka,2002-10-13
2003,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Australia,Melbourne,2003-03-09
2003,2,Malaysian Grand Prix,Sepang International Circuit,Malaysia,Kuala Lumpur,2003-03-23
2003,3,Brazilian Grand Prix,Autódromo José Carlos Pace,Brazil,São Paulo,2003-04-06
2003,4,San Marino Grand Prix,Autodromo Enzo e Dino Ferrari,Italy,Imola,2003-04-20
2003,5,Spanish Grand Prix,Circuit de Barcelona-Catalunya,Spain,Montmeló,2003-05-04
2003,6,Austrian Grand Prix,Red Bull Ring,Austria,Spielberg,2003-05-18
2003,7,Monaco Grand Prix,Circuit de Monaco,Monaco,Monte-Carlo,2003-06-01
